description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error,y_PF4_rsteps_error,y_PF4_error
,0.04755463962342237,0.006985393526902943,1.9008002796162883e-05,9.672680932695668e-06,0.00013899935718478793,0.0007457709659226393,5.73007459234449e-05,1.9002148899532053e-05,5.5181449434364845e-08,9.324959165901434e-07,1.9736654173017903e-07,1.1690696795072885e-08
,0.050406829494670256,0.007180262132080238,2.071535085710724e-05,1.0433588447177055e-05,0.00015617110312484865,0.0008138919345850795,6.318111297378566e-05,2.0708763103097336e-05,6.311065038218397e-08,1.078728499164753e-06,2.2832314684725116e-07,1.326023398665389e-08
,0.05342993857092256,0.007328778982785364,2.2559632987663646e-05,1.0761511329288707e-05,0.00017546312618526915,0.0008882336319746069,6.849155889457215e-05,2.2552223963712332e-05,6.532813975961564e-08,1.2478889204838997e-06,2.6413470721376496e-07,1.371894961866243e-08
,0.05663419118345823,0.007412182570897564,2.4552287628182483e-05,1.1234524280976266e-05,0.00019713701864608368,0.0009693638697576823,7.852501910304999e-05,2.4544074099045345e-05,5.982103012247723e-08,1.4435710853317801e-06,3.0556250471139425e-07,1.24893524138324e-08
,0.06003042104982783,0.007394708463951404,2.6707516438725487e-05,1.3467718031868579e-05,0.00022148660731888603,0.0010579022474637362,9.229001849141001e-05,2.6698722619845683e-05,7.248500813521057e-08,1.669932019238607e-06,3.5348717439641586e-07,1.5337947055172842e-08
,0.06363010731973474,0.007211673745436675,2.9043336066142027e-05,1.7119660805290417e-05,0.00024884191802584997,0.0011545248695001716,0.00010425535490618975,2.903448163365965e-05,1.1192920374029706e-07,1.931780049384574e-06,4.0892739479092826e-07,2.3666349324083915e-08
,0.06744541271926767,0.0067644233019006645,3.1582691718383646e-05,2.039521326498224e-05,0.0002795736262111613,0.0012599694908204853,0.00011040140763701475,3.157460354759399e-05,1.492798374038168e-07,2.234676797072092e-06,4.730615333594514e-07,3.157242102583605e-08
,0.07148922391146126,0.005940422354381789,3.435436243373111e-05,2.1657231209947495e-05,0.00031409805302169046,0.0013750411300245157,0.00010676314038144621,3.4348024267165165e-05,1.70819611664832e-07,2.585055102085359e-06,5.472526600214712e-07,3.613533333305581e-08
,0.07577519419727695,0.00466339461768193,3.739318857158163e-05,1.9486775412566173e-05,0.0003528827733821186,0.0015006181921907564,9.049996041931004e-05,3.7389364514284355e-05,1.6233970574015708e-07,2.9903554178889765e-06,6.330774916903378e-07,3.432999738967108e-08
,0.08031778868745391,0.0029855160926024996,4.0739019853694925e-05,1.3108081893466432e-05,0.00039645291062213417,0.0016376591475125036,6.25374247998829e-05,4.073771409158677e-05,1.138358347331524e-07,3.4591835264998375e-06,7.323598647632472e-07,2.3979043740430227e-08
,0.08513233208230556,0.0015718713711150246,4.443398163963914e-05,4.261444504497724e-06,0.00044539820126342775,0.00178720981593908,4.658054546341221e-05,4.4434012460934664e-05,4.6819045083348533e-08,4.001492907509575e-06,8.472094466386018e-07,8.70816828595757e-09
,0.09023505920338841,0.0026868160044415078,4.851843183613528e-05,1.3003116974798079e-05,0.000500380923606936,0.001950411312562015,6.506170181628508e-05,4.8517516400646416e-05,1.2043645167948467e-07,4.628795635772586e-06,9.800665110543788e-07,2.494564931996762e-08
,0.0956431684280988,0.0049347102806811165,5.3027109205507924e-05,2.6468666520718095e-05,0.0005621447951037723,0.0021285087133023958,0.00011040355698680467,5.3022637772012205e-05,2.4899696384744255e-07,5.354406215589883e-06,1.1337537239035326e-06,5.229876753592083e-08
,0.10137487818560609,0.007044843071222769,5.798752823260564e-05,3.6757919729494665e-05,0.0006315249560753683,0.002322860505887134,0.00015390968990281644,5.797768763773675e-05,3.4610144090354e-07,6.193723548104531e-06,1.3115360259685722e-06,7.284522726575866e-08
,0.1074494866801204,0.008711979983360962,6.342167578960735e-05,4.071523460103518e-05,0.0007094591714829027,0.0025349488967867945,0.000180888752280505,6.340617435396534e-05,3.727722135149247e-07,7.16455692117978e-06,1.517189904201678e-06,7.831458160906412e-08
,0.11388743501534186,0.009888550952801436,6.934979749792638e-05,3.794141734275944e-05,0.0007970003982387609,0.002766391051182363,0.00018760635997948247,6.932958891848558e-05,3.158872838005969e-07,8.287502930259774e-06,1.7550834760608514e-06,6.558015766845002e-08
,0.1207103739019455,0.010685552663381014,7.57935304370011e-05,3.4989661054398165e-05,0.0008953308831952612,0.0030189513498109707,0.00017957925918827758,7.576967098986374e-05,2.678378019574862e-07,9.586381248688645e-06,2.0302691316791754e-06,5.615555349898823e-08
,0.12794123413822847,0.01123689661991805,8.277695511005543e-05,4.102134786705522e-05,0.0010057779766407017,0.0032945547540399744,0.00017395213519711233,8.274956270781291e-05,3.9610832233027336e-07,1.1088738411058616e-05,2.348590647242895e-06,8.355654067074301e-08
,0.135604301062437,0.011615982019607386,9.032771275786911e-05,4.654743365250874e-05,0.0011298318681863026,0.0035953013785828963,0.00018625767289102196,9.029610469007503e-05,4.682458660059469e-07,1.2826430231473786e-05,2.7168070554039376e-06,9.748462843060758e-08
,0.14372529318387214,0.011819930597743885,9.848209517864957e-05,4.6738764115637855e-05,0.0012691654764682495,0.003923482380089074,0.00020181338704701105,9.844619667319233e-05,4.647368974155511e-07,1.4836295062628419e-05,3.142735886317033e-06,9.66167644767012e-08
,0.15233144520855688,0.011732895101276808,0.00010729469828223403,5.3558627872131116e-05,0.0014256567515631194,0.004281597279389232,0.0002443360848838319,0.00010725672057837932,4.645125892888174e-07,1.716093204982731e-05,3.635418800324399e-06,9.757014405241114e-08
,0.1614515956840126,0.011051153509217176,0.00011684826745445149,7.275655193006325e-05,0.0016014136795876024,0.004672372845544538,0.0002772743173066317,0.00011681361725445138,8.020161107980923e-07,1.9849600704754333e-05,4.205313119570694e-06,1.6917667714759194e-07
,0.17111627949650404,0.00926785334892572,0.0001272595960987281,8.008181368407394e-05,0.0017988023130975496,0.0050987836811637885,0.00026631674963134566,0.00012723582786462994,9.842588186305997e-07,2.2959260678114723e-05,4.864513257077843e-06,2.0782917960397514e-07
,0.18135782546288687,0.00614121818851048,0.00013867959224792416,5.9228663384938714e-05,0.0020204781889053536,0.005564074660592823,0.00019740285972755573,0.00013867119106445778,7.723819609072703e-07,2.655577345054579e-05,5.627006779217207e-06,1.6235296791315156e-07
