description,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_PF4_error
system=isg_2d,0.14176443256557825,0.0062242282357537594,0.009198860681755874,0.013956876386428264,0.006986148074852187,0.000872139012097529,4.59348570804283e-05
CPF1&2,0.2666360783664649,0.011869667461876088,0.016806188279224414,0.026023816146533665,0.013231551127089108,0.0015761103285721163,8.092780352575739e-05
size=3*3,0.36132996830641295,0.016504793777671976,0.021652164527518572,0.03473561395450209,0.018188374138796193,0.0020063244312342023,9.918206797684974e-05
tau=0.1,0.4185678112943664,0.01998485900837079,0.023221826962387265,0.03933888176155244,0.021653917601318493,0.0021482048809223146,0.00010148380422298971
"steps_list = np.arange(1, 101, dtype=int)",0.4379185693222259,0.02256439690352641,0.021665457249643597,0.0399229374549775,0.02389773178116618,0.0020462363243841596,9.189872610774973e-05
,0.42612982389374354,0.024952547355786732,0.017874412271421627,0.03770073235769141,0.025813903936897337,0.0018042217484847487,8.07030165461254e-05
,0.4061222454316852,0.02784551192097264,0.015324255374927188,0.03727137430567464,0.028474669116791425,0.0017988818252824624,8.852774675152759e-05
,0.39757867536701574,0.031235395112759995,0.015338940180052127,0.04012320477589247,0.031860164681550736,0.00203316052988225,0.00010043674448077453
,0.3875491008162874,0.034817490900060935,0.016043140375009323,0.043979532822026955,0.03547606148735197,0.002234340699860138,0.00010919479363108942
,0.3945459126313019,0.03839378070472239,0.0171572227545924,0.047869220614985566,0.03904532931602825,0.002363571013679456,0.0001150552620092852
,0.4048315446213484,0.04191579021702731,0.018082095376076482,0.051229094332414564,0.04252031745450295,0.002469677247590364,0.00012011068632735698
,0.40478780186419605,0.04542523645530107,0.01828719495877688,0.05412961984989753,0.04599025077182273,0.0025964454890888655,0.000126837269266439
,0.40457313542174766,0.04894423081884741,0.01871174355987153,0.05714507604194042,0.049505483889615065,0.0028024590654344597,0.00013594786461217093
,0.41489801095296197,0.05242644122522453,0.01935171226664368,0.06034100341218334,0.052988695349799705,0.0029833631543345505,0.00014427781398857126
,0.41851533569694493,0.055818559805797856,0.01961307193739044,0.06322169507477435,0.05634610815610973,0.003133946000720499,0.00015005893654088185
,0.4112276767686018,0.05912381992234362,0.01962814446248425,0.06565009340833632,0.05957644333635597,0.003252825708587647,0.00015357470576639654
,0.39744175006170673,0.062398736287996824,0.019574357770128184,0.06784287566522469,0.06276095491445267,0.0033765827456982136,0.0001603713694427825
,0.38966401168587034,0.06571106928318667,0.01947296881454023,0.0700506953570292,0.06599580966889565,0.0035214120756830985,0.0001684159417474927
,0.39354040002820234,0.06910261295936294,0.020143322473580586,0.07303430590297867,0.06933655504688796,0.0037504554257064386,0.00017758877022224385
,0.3982135639415509,0.07257933052415805,0.02094052201370598,0.07692546753143047,0.07278371517825587,0.003938622105588144,0.00018726747549752088
,0.40415866539165957,0.07613088400901151,0.021385636534265777,0.08042954483564183,0.07631460914631125,0.004075230038742378,0.00019450132909565258
,0.42897477123114564,0.07975634112309712,0.02170212650227533,0.08357588509063056,0.07992884642346243,0.004188248476211972,0.0002011946220548627
,0.4545999061392579,0.08346166981831245,0.022084355615980527,0.08660191094048272,0.08364695396108393,0.004297771124150279,0.00020820710780530697
,0.46784899186730977,0.0872288992562468,0.022798980729156766,0.09101222395777661,0.0874553950934186,0.004467531482398115,0.00021475304439368462
,0.46541264833138263,0.09100102082759474,0.023876418799620172,0.0956396374520473,0.09127539652212277,0.004691618411553182,0.00022392158561124336
,0.4510442845527893,0.09471110209275789,0.024276478703882116,0.09975726727555831,0.09500943475647258,0.004884182217082645,0.00023372456226690216
,0.4321290705625685,0.09832678920636553,0.02432726863676638,0.10320762440310938,0.09861354470844323,0.005029617300603971,0.00024059811139424964
,0.4249561999980691,0.10186575793372589,0.02536899136258457,0.10632281602451811,0.10211889759350268,0.005234885262628458,0.0002487750369044285
,0.4256042987133236,0.10537392291056014,0.025944358390376367,0.10950616140013714,0.10559339384756154,0.005428316590128078,0.00025838438569729546
,0.4187861871597741,0.10889249134645829,0.025617059785625118,0.11220898965401858,0.10909011392696076,0.005560448844305789,0.0002654381229620796
,0.4097527140773136,0.11244120471579518,0.024759901607848127,0.11561479524462359,0.11262732994794927,0.005658852031604003,0.0002709217966013523
,0.41687794662345845,0.11602200111608439,0.024796877967139187,0.11929431064661838,0.11620257431112983,0.005804260373748313,0.00027663577343592057
,0.43549038991007943,0.11962762555104038,0.025637223940430044,0.12315124832379275,0.11980938220916017,0.005957910998150004,0.0002846710986917852
,0.4492473816047685,0.12324293329450484,0.02664598323340377,0.12704579679081546,0.12343458813586759,0.006135896376618762,0.00029348500536706076
,0.4497801846857399,0.12684390425083603,0.02749951677948618,0.13078754264485115,0.1270490140611683,0.006334930888684065,0.00030339865230865644
,0.4358685337578591,0.13040519201696088,0.02792485342459681,0.13420360037188547,0.13061561023547844,0.006528215324670617,0.0003132596788845341
,0.4199786136268356,0.1339142457418768,0.028111686159545297,0.13724387230930726,0.13411246880209401,0.006703672342391931,0.00032077476561302677
,0.42184105911328473,0.1373798080717295,0.02833169842556946,0.14000403894511781,0.13754702316663234,0.00686942807289594,0.00032670230511585896
,0.42660523218568236,0.14082972293289492,0.02885221194829623,0.14270136915039303,0.14095279729279084,0.007025699581023555,0.00033367575143949203
,0.4316213734624317,0.1443030583141509,0.02937062624675227,0.14622342645639716,0.14438035006577438,0.007173636603577786,0.0003430519342525986
,0.43074521063579835,0.14783881638796642,0.029685701165457816,0.14957628265327338,0.14788572703307387,0.007365008695716904,0.0003529813180445288
,0.4258031855834784,0.15145893430330357,0.029842434420981598,0.15282409463173333,0.15150646019033207,0.007529711278213012,0.00036095979435473065
,0.42373219063663375,0.15515206888609015,0.02994872484626411,0.15683439915663203,0.15523219716045636,0.007669625925456687,0.0003670963966604253
,0.4261197383042155,0.15887428701155806,0.030687941365461317,0.16119358584928367,0.1590004192151558,0.007867957205564859,0.0003741530605162176
,0.443163075654406,0.1625725046055999,0.03211738206727349,0.1653112191924387,0.16273195507021687,0.008076538653180147,0.0003837469406830843
,0.46447129116010233,0.16621454960426965,0.03289030190788036,0.16903490936259816,0.16637991283644255,0.008239293306644328,0.00039247022462228883
,0.4762055599846749,0.16980252272867846,0.033011714379177194,0.1724462428411199,0.1699512222415929,0.00839963628051666,0.0004023929452234034
,0.4808518445574404,0.17336174869027746,0.03335214126803817,0.17575479083445833,0.17348741754498342,0.00857637041524922,0.00041121028720793155
,0.4826099307864504,0.1769185723969479,0.03287607416312098,0.17913227769327128,0.1770280149121033,0.008720872952681705,0.0004183845183351143
,0.48202647930002446,0.18048597137242867,0.03287223485433008,0.18262444483075457,0.18058894292133487,0.008858953203193215,0.00042415305253324585
,0.4809727862974345,0.18406404260300338,0.033211254490109365,0.18618867856190777,0.1841664377299515,0.009035965478646699,0.0004306811855587038
,0.48621585911509,0.18764817550106228,0.03372058773959898,0.1897771334139593,0.18775206947524758,0.009205280457802357,0.0004387669987483756
,0.49449671322841965,0.19123475641410187,0.034856641418259275,0.19337494166400615,0.1913413399500661,0.00940378553784349,0.00044979175807902106
,0.4939556129571594,0.19482098611277957,0.036543547850016865,0.19698295095810475,0.19493173646486667,0.00962025456830791,0.000460733015933481
,0.48065021674670716,0.19840190954931713,0.03723656628040132,0.20058336313060304,0.19851701893713855,0.009792272897646004,0.00046901127370570364
,0.461608525213267,0.20196909112925193,0.03693636506550044,0.2041220783488527,0.20208495158284348,0.009923780991366751,0.0004747507500180185
,0.4714062817006983,0.2055135549619644,0.03760210572855045,0.2075261449780718,0.2056217061686368,0.010100656348582137,0.0004805891010060649
,0.47777190650239265,0.20903269066174845,0.03782459094283915,0.21075396757307585,0.2091222801754694,0.010267271897408984,0.0004888255639987209
,0.4786688919678473,0.21253678322882996,0.03781224902564008,0.21384723455765575,0.21260065376514417,0.010416369644242411,0.0004990263352676624
,0.4709713379019067,0.21604839750690075,0.03882158897289599,0.21694204502263684,0.21608905810011134,0.010603120215775991,0.0005088535617485943
,0.45484205985411547,0.21959194461371404,0.03935828506987217,0.22021560510556626,0.2196218313929479,0.010777264984693662,0.0005167849205547475
,0.4532201795924192,0.223179853225014,0.039625054773576036,0.22378798788888193,0.22321449030802382,0.01093652580294007,0.0005234638806146584
,0.46343989778275146,0.22680614638597382,0.0400401159999477,0.22764596076975063,0.2268556424407662,0.011103652564201273,0.0005307389973837302
,0.47535874184137866,0.23045191267379833,0.04068875603718752,0.23165616672387893,0.23051764600955163,0.011292019970348411,0.000539745530026741
,0.4847180445649207,0.23409685212169623,0.041306551126566254,0.2356556640712458,0.23417460001225657,0.01149027810143821,0.0005497890699272096
,0.4889785964425899,0.2377276812714541,0.04164510484731944,0.23953442732493652,0.2378127118041295,0.011670415715740845,0.0005589460698190212
,0.488212915956725,0.24133941591970035,0.04232191115411702,0.24325582723131628,0.24142892898634524,0.011816536564239586,0.0005659372771333361
,0.4828686854351543,0.24493215373586164,0.04274907014167436,0.24683636616341134,0.24502435392806807,0.011974070185599555,0.0005717278099716965
,0.47498065322029503,0.2485079423612559,0.04296489779175231,0.2503214892299569,0.2486001386332207,0.012152878980199648,0.0005789262225523169
,0.47049235944007467,0.25206995125751747,0.04313030133659165,0.25376623525951725,0.2521581591130579,0.012324029112935226,0.0005888478863469984
,0.47598355518846003,0.25562300245769926,0.044522967525722594,0.257217525978544,0.2557035125184133,0.01251450209832157,0.0005997783463752345
,0.49084145957160064,0.25917335340071224,0.045805654263542765,0.260701236211009,0.25924475540818476,0.01270947278993738,0.0006090607408264837
,0.5071671382506107,0.2627269347974285,0.04615224111545634,0.2642203001752518,0.262790878472486,0.012869483796105745,0.0006161306801506964
,0.5171952700921275,0.26628713035071716,0.04585415742805394,0.2677645004648337,0.2663475118917417,0.01301377681276742,0.0006226761977139822
,0.5188007698713255,0.2698534998502939,0.045646713318027,0.27132213211990097,0.26991486863174796,0.013166312420571355,0.0006302062206589057
,0.5142038490634072,0.2734218488390943,0.04643157039650966,0.2748801950705491,0.27348762310467295,0.013343849929637674,0.0006385431688352553
,0.5056290070027927,0.2769854827639698,0.04708373061759658,0.2784150042858856,0.2770562212761757,0.01352767960445381,0.0006469469619222368
,0.5157036265946254,0.28053755472870195,0.047627340963514016,0.28189281153809953,0.280609965679328,0.013709474768827636,0.0006555096369932279
,0.5204423374718437,0.2840740359762571,0.04896047045404349,0.2852887948135378,0.2841415603221435,0.013896091273092886,0.0006646929159000278
,0.5149544578691542,0.2875962902068883,0.04993897624240534,0.2886070079808738,0.2876512480417653,0.014089921542239103,0.0006741624281889067
,0.5014206125707213,0.2911125156819903,0.050258058440945524,0.29188719920637596,0.29114919017880403,0.014265263172931999,0.0006828741885968115
,0.4867614326804173,0.2946374653584474,0.04986262837917285,0.2952048109344796,0.29465563372594317,0.014415310030823704,0.0006902393431307364
,0.4761780466174673,0.2981888240884673,0.04908223343698507,0.29866142906277454,0.2981964718020686,0.01455196927558842,0.0006968559727371798
,0.46943353431486823,0.3017790145793466,0.04871649039202815,0.3023438091101657,0.3017913428287915,0.014698374078779802,0.0007039982765219414
,0.4925179742440868,0.30540567400727037,0.05012056825568117,0.30625734964093215,0.3054385356005342,0.01488351278460813,0.0007124723243795778
,0.5294075017352096,0.30904855284019184,0.05181493411471413,0.310290198991661,0.3091093274021486,0.015090216808294404,0.0007220580225358567
,0.5594762475744336,0.31267794379108976,0.05315172736415006,0.31425696176438384,0.3127606275107717,0.015286024500665112,0.0007318157171659399
,0.5789638710502654,0.3162704215062531,0.053763343082828124,0.31800141693096884,0.316359250557815,0.015468934302370264,0.0007407026804234502
,0.5872138224569666,0.31982084925678606,0.05418513880152481,0.321483549649799,0.3198999123019822,0.01564055289507584,0.0007482764587339212
,0.5863362909183526,0.3233423543652703,0.05428314123449389,0.3247887416204221,0.32340392789245115,0.015797042818031612,0.0007552338076909868
,0.5804648289289671,0.32685570700617217,0.05439319382051251,0.32805818151712357,0.32690166682104493,0.01595581928403148,0.0007629402183551094
,0.5729348082168535,0.3303773875075477,0.05475636608323768,0.33140150582722705,0.33041439008631845,0.016125287177895183,0.0007718920514712799
,0.5650339161037236,0.33391470393628686,0.05526427408373011,0.3348610889313644,0.33394889891713175,0.016296733349157093,0.0007809968966982439
,0.5581000250234971,0.3374681006501238,0.0557294985814436,0.3384351310642033,0.3375039056738022,0.016460441430108545,0.0007890139987999723
,0.5546985182645467,0.3410342850108365,0.05621975235521254,0.34210498713757853,0.3410760143022696,0.016624262469576576,0.0007963394425459391
,0.5544340075979353,0.34460576474808463,0.05699761039165387,0.3458277063009396,0.344657624991742,0.016805753828649427,0.0008045462239269113
,0.5506479829722839,0.34816932634129094,0.058039031918964624,0.34951582842490575,0.3482319496278062,0.0170060847266101,0.0008141691363862584
,0.5355886475325412,0.35170908676966695,0.05884727663883156,0.35305197173764935,0.3517756551868965,0.017202663916974368,0.0008238496503543469
,0.5049567628088397,0.3552156457867565,0.05901304713562423,0.3563547899590393,0.3552724527407924,0.017372262614316195,0.0008319814795333041
,0.45996718369559664,0.358695872623227,0.058447195823627146,0.35945907798200116,0.358729299905924,0.017515940293930374,0.0008385280013983265
