description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error
system=hub_wc3,2.3778951724886253e-05,1.1943512890491871e-05,1.762416000338764e-11,1.1916341738422202e-11,4.802889810326767e-11,9.591109400969444e-09,3.0285912634164607e-09,1.7625365067927895e-11,1.2123118874692525e-12,1.2214976593848815e-12
alpha=0.01,2.779644614472932e-05,1.3225481363584143e-05,2.206033426749927e-11,1.3347387060446962e-11,6.554026970834434e-11,1.212170523714186e-08,3.102056006312094e-09,2.205947720571315e-11,1.0613756967927358e-12,1.4432917533586823e-12
CPF1&2,3.2492702613083864e-05,1.4747685920913595e-05,2.7616112539739972e-11,1.5321087877027944e-11,8.929036636212388e-11,1.5319994615371996e-08,3.2410100280189716e-09,2.7615567936503533e-11,9.408981466874245e-13,1.3322967654525057e-12
size=10,3.7982398898049415e-05,1.6485819193510968e-05,3.457875868192889e-11,1.9567222863674205e-11,1.221972788648412e-10,1.936214598852891e-08,3.5812996742695047e-09,3.457730647263908e-11,1.0008163457701623e-12,1.998415615024106e-12
nsteps=1000,4.4399587500312904e-05,1.8386012142456877e-05,4.329841911775658e-11,2.7999555685424482e-11,1.6693623815825496e-10,2.447081196570228e-08,4.216976783200101e-09,4.329853360905038e-11,1.3587645653891542e-12,1.998539068782367e-12
"ticks = np.logspace(0,2,num=60)",5.19009692418839e-05,2.037269932253657e-05,5.421217026583099e-11,3.976268149059105e-11,2.2787078704032237e-10,3.0927387908855444e-08,5.4033825048162574e-09,5.4209114148764477e-11,7.242271109503758e-13,1.1102435497214418e-12
,6.066971981000343e-05,2.2350106216892687e-05,6.801045550073901e-11,5.336804560473969e-11,3.1126101107071424e-10,3.908751960845257e-08,6.915230251706818e-09,6.80107261840435e-11,1.284440830391436e-12,2.2207652038512904e-12
,7.091996209087298e-05,2.4206961951125403e-05,8.576514649356151e-11,6.688547671012559e-11,4.2502542819991715e-10,4.940068366913873e-08,8.440941013428361e-09,8.576193067307862e-11,1.3268630990622177e-12,3.3314359192405064e-12
,8.290199516870046e-05,2.5804405082511374e-05,1.0821854251062848e-10,8.596139102340231e-11,5.806256477925721e-10,6.243495618755435e-08,1.0548619848450523e-08,1.0821771358288201e-10,4.3016522094056085e-13,1.336217040615407e-12
,9.690840598257437e-05,2.6979878952145655e-05,1.3652239220872248e-10,1.1802410562281784e-10,7.937936331278843e-10,7.890829250146311e-08,1.3172380032828177e-08,1.3651963181923204e-10,1.6154566569126423e-12,2.000921281184281e-12
,0.00011328121364072949,2.762416263023613e-05,1.7215566032793992e-10,1.5090746918382722e-10,1.084059116307494e-09,9.972808217859492e-08,1.4798459598124799e-08,1.721602091454078e-10,1.1017199599514485e-12,1.5930285056892861e-12
,0.00013242022095322992,2.793091153310162e-05,2.1707199089405654e-10,1.6779997870303642e-10,1.4814251632787074e-09,1.2604112555253242e-07,1.506730834427727e-08,2.1707194060570558e-10,1.3165855751064688e-12,2.6700924980966847e-12
,0.00015479277653545026,2.8329910736732874e-05,2.7386062869973085e-10,1.8537594069234e-10,2.024391225545126e-09,1.5929680262642597e-07,1.5039288667123188e-08,2.738702088734735e-10,1.109784048566899e-12,2.0318924541414832e-12
