description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error,y_PF4_rsteps_error,y_PF4_error
system=isg_wc,0.0012310728622692913,0.0005558636614782187,1.877608328165059e-07,1.3948099132204762e-09,3.1182156090399656e-09,8.214241803288183e-07,3.7103861869089236e-07,1.8776174142287003e-07,1.3485385829956894e-12,2.4155592257727784e-12,1.887395211278901e-12,1.921176662454826e-12
CPF1&2,0.0014390647494527092,0.0005479417952498116,2.0145524840309043e-07,1.6029207882785756e-09,4.260769212280778e-09,1.0381554217632892e-06,3.957936911276261e-07,2.0145634990615087e-07,2.311915433584772e-12,4.5850757669079115e-12,3.442567425777076e-12,3.443806780998388e-12
size=10,0.0016821972038063,0.0005130316179423394,2.065669721551392e-07,1.7474124354134417e-09,5.822047779472205e-09,1.3120707290347812e-06,4.015068837316894e-07,2.0656826197411266e-07,6.373856548917191e-12,7.466396560581547e-12,2.887769222958664e-12,3.0832916707294665e-12
nsteps=1000,0.00196640727332563,0.00044298373178656243,1.985634290161204e-07,1.7519196262930251e-09,7.955530520243298e-09,1.6582580899197424e-06,3.7703061448223945e-07,1.9856480782475563e-07,2.985384648094446e-12,7.1729340559202085e-12,3.000856704211884e-12,3.1391029945166536e-12
"ticks = np.logspace(0,2,num=60)",0.002298635075642956,0.0003295336834132295,1.7462922159397278e-07,1.5025207763587696e-09,1.0871080030637173e-08,2.0957862804746295e-06,3.102536657835334e-07,1.7463041073675717e-07,3.8181151008585645e-12,9.984836325913497e-12,2.5619359589839593e-12,2.676167108241676e-12
,0.002686993266622383,0.00018388836412812256,1.4910325316385257e-07,9.54445325205517e-10,1.48544451020413e-08,2.648755348797611e-06,2.1814867456719167e-07,1.4910391702869446e-07,2.406500685636124e-12,1.4384852123615243e-11,1.7018097320181132e-12,1.7549697295427808e-12
,0.0031409651400055505,0.0001524239850990457,1.6784269820249545e-07,1.0085857218649642e-09,2.029785556682006e-08,3.3476241587156485e-06,2.3047461034895663e-07,1.6784342409681502e-07,2.4304294012941207e-12,2.132498829690193e-11,3.122507906538901e-12,3.2014265892160004e-12
,0.003671636195513258,0.00032184672561554555,2.646061592194023e-07,2.5466266910171715e-09,2.773582897793224e-08,4.230888047829705e-06,4.285014865129004e-07,2.6460831618657094e-07,5.178226082326219e-12,3.111355346048016e-11,3.4310113697675058e-12,3.3885686831178714e-12
,0.004291964829479051,0.0006293943785642791,4.5107127990003514e-07,5.681625031852072e-09,3.789914112875566e-08,5.347199208997445e-06,8.216143992552131e-07,4.510772996502598e-07,7.750958491707874e-12,4.653498947315228e-11,4.570177028164621e-12,4.541039054591339e-12
,0.005017098757164408,0.0009467675434851235,6.941698321514696e-07,9.879695476385504e-09,5.178720621049987e-08,6.758046478364109e-06,1.309466168599349e-06,6.941817329468032e-07,1.32375813673663e-11,6.787484182789923e-11,5.453879849331458e-12,5.2999326941547795e-12
,0.005864744893066639,0.0012267975430142282,9.566723635112415e-07,1.4844336935775515e-08,7.076423014328176e-08,8.541142482859458e-06,1.821344541777568e-06,9.566920990145125e-07,2.134822966426338e-11,1.0004098540433004e-10,3.88649634596445e-12,2.381893509969807e-12
,0.006855601719122943,0.0014025554792146443,1.1857874497468457e-06,1.968041076855391e-08,9.669569263172406e-08,1.0794704086811939e-05,2.2473979771504246e-06,1.1858156922878884e-06,3.0703984562360646e-11,1.47137929517925e-10,5.499085115195631e-12,2.1500264121035767e-12
,0.008013864698137871,0.0013930360156973833,1.3083855045921717e-06,2.2613483460182942e-08,1.3212954850880404e-07,1.3642862157037795e-05,2.424360934990806e-06,1.3084197353351283e-06,3.8392330317083755e-11,2.1702542464435144e-10,7.91643198566591e-12,3.583510505693962e-12
,0.009367817071176206,0.0011199712611651995,1.2606603222174508e-06,2.0859860524399618e-08,1.8054796746384096e-07,1.7242499139358055e-05,2.1666127147778014e-06,1.260691422928157e-06,3.960417622825074e-11,3.2016049954288765e-10,1.1591290343477316e-11,5.460356062879611e-12
,0.010950520462337576,0.0006516502287061034,1.1607703805733345e-06,1.3836619624204204e-08,2.4670888955729046e-07,2.179189026559088e-05,1.6417444854179754e-06,1.160788733141479e-06,3.492221312227127e-11,4.731035997041111e-10,1.6996214291227793e-11,4.998016340312626e-12
,0.012800622150526625,0.0005930206936588153,1.3800734147768726e-06,1.6203288094506055e-08,3.371144063705706e-07,2.75416246415113e-05,1.901414345911944e-06,1.3800968197511627e-06,4.8601071482437347e-11,6.982373658410442e-10,2.4703627709535108e-11,2.6195156902679956e-12
,0.014963298715244511,0.0012684666074032453,2.10326828198338e-06,4.050698153169336e-08,4.6064847176746833e-07,3.480840815105373e-05,3.3775345696457167e-06,2.1033371649696935e-06,1.0151606980892944e-10,1.0310585597959829e-09,3.671675016870847e-11,4.6496829294159555e-12
,0.01749135908993217,0.002018397828165275,3.104381332330297e-06,7.316162615865349e-08,6.294511088670474e-07,4.399250765552399e-05,5.3977304675283144e-06,3.1045288966839133e-06,1.8724846886106694e-10,1.5227238955417956e-09,5.391288458161546e-11,8.05667001444656e-12
,0.02044653394863542,0.0021574891676644265,3.7068102078608676e-06,8.912907517445913e-08,8.601105332241128e-07,5.559979789753166e-05,6.260314583151357e-06,3.7069985671547388e-06,2.50885120611427e-10,2.2487226888253645e-09,7.963235333126429e-11,1.0093573759404018e-11
,0.023900982893868047,0.0014813129339903536,3.749669781129869e-06,6.880728141741753e-08,1.175293161591058e-06,7.026962511834575e-05,5.358174012289306e-06,3.7498029277309808e-06,2.4784677123845886e-10,3.3213776480565934e-09,1.1726944211858342e-10,1.0122585498024466e-11
,0.027939056231007488,0.0012781675567877366,4.327468345078602e-06,7.438337697984966e-08,1.6059722704116338e-06,8.881002193170305e-05,5.795035324887789e-06,4.32760899793626e-06,3.211854180805785e-10,4.9062535202601546e-09,1.732185730907515e-10,1.3507670669395792e-11
,0.032659354318322786,0.0020619634572311358,5.961874190699088e-06,1.4399959023770067e-07,2.194470351758421e-06,0.00011224221300336882,8.831363595177706e-06,5.962200443830306e-06,5.775363268546368e-10,7.246759033137651e-09,2.557148446353478e-10,2.3432081266075474e-11
,0.038177134742363325,0.0027767834206609892,7.724635131581159e-06,2.1504241666177292e-07,2.9986169622919776e-06,0.00014185686278047745,1.1775297534959617e-05,7.725158463144878e-06,8.829443163993999e-10,1.0704610828867042e-08,3.7782185614908274e-10,3.4221636957405976e-11
,0.04462712604392135,0.0020470434875165247,8.755303470936758e-06,1.790271817347776e-07,4.097434708180494e-06,0.00017928516225186104,1.1661797314092965e-05,8.755739532751946e-06,1.0139526029315575e-09,1.5813001556415527e-08,5.58141459033299e-10,4.161881927855422e-11
,0.05216681662922291,0.0022459596973541,1.0859138473979694e-05,2.4877687856059445e-07,5.598899855288047e-06,0.00022658867035337904,1.4466840493361058e-05,1.0859773735294756e-05,1.5044829997435931e-09,2.335849118728169e-08,8.247276494682264e-10,6.36984463027098e-11
,0.06098029907702952,0.0031160616523499994,1.3724703087738292e-05,3.9046454891458403e-07,7.650555096223943e-06,0.0002863728569203216,1.8708108397594524e-05,1.3725667810679819e-05,2.2521181622532494e-09,3.450576049283925e-08,1.218014414017849e-09,9.259078860507439e-11
,0.07128276357679182,0.002758281087976089,1.698079563459921e-05,3.896118226179097e-07,1.045400454930872e-05,0.00036193059896966065,2.1825053231462253e-05,1.6981932066921984e-05,3.0473350975135596e-09,5.097332019140498e-08,1.7993753518275081e-09,1.2802992416083403e-10
,0.08332575003374468,0.003286111617713279,2.0993276599818062e-05,5.762860099121048e-07,1.4284723137631016e-05,0.0004574235323065092,2.685024452090891e-05,2.099483652496557e-05,4.44809532504628e-09,7.530144200827515e-08,2.6584330695086424e-09,1.9098308616028528e-10
,0.09740328683304393,0.003514157199647555,2.585758551573942e-05,6.856674279920968e-07,1.951912264531163e-05,0.0005781112428322885,3.1721867147185366e-05,2.585932942996716e-05,6.063297676157233e-09,1.1124053704416492e-07,3.927460424021695e-09,2.612874741379308e-10
,0.11385906581217067,0.003844003671544256,3.3091423966732244e-05,9.114356028264653e-07,2.6671531322697288e-05,0.0007306409160903067,4.116130773930698e-05,3.309436472126631e-05,9.276030356378183e-09,1.6433359963604503e-07,5.802028749354118e-09,4.016860179860466e-10
,0.13309482816202944,0.0038103825964043996,3.9913729715427923e-05,1.0341335377426168e-06,3.644472455985498e-05,0.000923413389017157,4.63856769886216e-05,3.991627489390015e-05,1.2172873858642416e-08,2.4276837910346194e-07,8.571499599073607e-09,5.438724708254656e-10
,0.15558016537252545,0.004442905529430992,5.138573044047275e-05,1.4305400956357543e-06,4.9798962337104874e-05,0.0011670457544120114,6.134007891873085e-05,5.1390507849322275e-05,1.8846228366308393e-08,3.5863963804206694e-07,1.26635288414226e-08,8.310316793121114e-10
,0.18186397364751897,0.00426180359259139,6.351528268926131e-05,1.5891007015313485e-06,6.804631849101552e-05,0.0014749559771835832,7.30172228262908e-05,6.352053091518635e-05,2.625228036607725e-08,5.298164320690625e-07,1.8708476005511475e-08,1.1849596699682106e-09
,0.2125878402600624,0.0048451602475659,7.903762835254675e-05,2.080909582339014e-06,9.297955698155736e-05,0.0018641016951795415,8.814051525730307e-05,7.904326101833262e-05,3.6910905679551e-08,7.826943487187594e-07,2.763916005847809e-08,1.6855364062480689e-09
,0.24850168704228823,0.0064558728893861685,0.00010066178024140292,3.2823126146635204e-06,0.00012704821189055842,0.0023559138534331304,0.00011444627977893902,0.00010067172280286384,5.611138444510126e-08,1.1562674015424974e-06,4.08332964438892e-08,2.53725915156707e-09
,0.2904820507024257,0.005724005913296565,0.00012561599528089203,3.497665628544784e-06,0.00017359914918394016,0.002977476531234691,0.00013898086788034653,0.00012562740209542288,7.992268395141583e-08,1.7081386277812024e-06,6.032563422955721e-08,3.6876109020222466e-09
