description,y_PF4_rsteps_error,y_PF4_errors,y_PF6_rsteps_error,y_PF6_errors,y_CPF4_rsteps_error,y_CPF4_errors,y_CPF6_rsteps_error,y_CPF6_errors
,2.972779802138042e-08,6.394933616928911e-09,1.5563439473460046e-11,1.093255434542609e-11,1.4459878005504112e-11,7.649249563238257e-12,3.754239881712364e-11,2.1269669464261508e-11
,4.391887827184108e-08,9.336715979444112e-09,1.4350779638275022e-11,8.894424042932135e-12,1.6761352263366944e-11,1.12118021812417e-11,7.588075430286096e-11,4.5118039516997654e-11
,6.488427027644719e-08,1.3777937249659475e-08,1.5878941502989147e-11,8.295621340581843e-12,2.7055244535647513e-11,1.2690850019533422e-11,1.2908709878178037e-10,8.977785536369778e-11
,9.585782766949033e-08,2.035565837354686e-08,1.122413280490595e-11,4.64368764841191e-12,2.2660653279601456e-11,1.467755622190393e-11,1.2762706991634167e-10,8.536371165337128e-11
,1.4161705664158715e-07,3.009496870477088e-08,1.567601501752243e-11,9.303590991092069e-12,2.415432765077847e-11,1.2564001689903305e-11,3.711884682425305e-11,1.4983119941645866e-11
,2.0921983162037856e-07,4.453276720817755e-08,2.0053520677228882e-11,1.1784218974615515e-11,2.4849410045812075e-11,1.4021615081133043e-11,5.141352104733621e-11,2.838202627642366e-11
,3.09093180964043e-07,6.579067906686286e-08,9.594915433853334e-12,3.5876831687927597e-12,2.7173021515271374e-11,1.1607162207432984e-11,2.7217795879105267e-11,1.5262261900174074e-11
,4.566414115135044e-07,9.690145087615939e-08,2.1310575667948666e-11,1.4221831842682862e-11,4.1535501658987316e-11,7.559714282848676e-12,6.607745647981025e-11,4.0974719179335644e-11
,6.746215708863731e-07,1.4272338108286206e-07,2.212550060662886e-11,1.2564484794839347e-11,6.953388222902669e-11,5.358246929233837e-12,8.764891696847791e-11,4.660200867267189e-11
,9.966533315277502e-07,2.109926741254752e-07,1.2237540669745262e-11,4.722080528092818e-12,1.1916046049562373e-10,1.3370823272009425e-11,6.66001004686927e-11,4.748448463821246e-11
,1.4724027385537601e-06,3.1176400610777156e-07,1.430553565868383e-11,5.114193455656932e-12,2.0470123443458172e-10,1.4910964782995527e-11,9.54980176305034e-11,5.935021032973815e-11
,2.1752426500545115e-06,4.5930894692953056e-07,2.202982658569046e-11,8.944039524115946e-12,3.524559011828195e-10,2.5383464287262113e-11,3.78528001780314e-11,1.6433794220564277e-11
,3.2135642909162642e-06,6.797177414439753e-07,3.847019654244783e-11,1.614685100931163e-11,6.075532593249319e-10,4.106926024937086e-11,6.710078726432626e-11,4.41058107117799e-11
,4.74749194811333e-06,1.0037100742232395e-06,5.844403937918226e-11,1.3648015755316693e-11,1.0479669156328505e-09,7.034372158957594e-11,9.386895715391732e-11,4.662097840220375e-11
,7.013568799798365e-06,1.4830705736900395e-06,9.847646778722302e-11,6.418984070229467e-12,1.8092333406001482e-09,1.229162079714688e-10,5.75046001813682e-11,3.672446285491429e-11
,1.0361223986556138e-05,2.1899267468575817e-06,1.6894111063985783e-10,1.1430082625740687e-11,3.1236375254676323e-09,2.096710261514202e-10,1.1262341157203691e-10,8.047146154128008e-11
,1.5306636591181077e-05,3.2323031471206434e-06,2.9116895308227443e-10,1.1698445683008406e-11,5.393796178544682e-09,3.587568041584506e-10,6.750547130289206e-11,4.3295353733635656e-11
,2.261229398618104e-05,4.7714170431096415e-06,5.02630265463289e-10,2.0223044602877805e-11,9.312957132924768e-09,6.146203754427557e-10,4.222474001940051e-11,2.716530651011072e-11
,3.340449968410044e-05,7.0510120298022065e-06,8.682174727695613e-10,3.390734002584964e-11,1.6081075420214025e-08,1.0660338814536078e-09,1.1462984909956726e-10,7.391785174133827e-11
,4.934692058370605e-05,1.0411753158412738e-05,1.498227979071517e-09,5.132667575272183e-11,2.7769065027928936e-08,1.8403712894938627e-09,1.1414731730971179e-10,5.522861286702654e-11
,7.289688761305195e-05,1.5380274115011206e-05,2.5868221642725104e-09,9.129936703172261e-11,4.795130703331925e-08,3.1819366800154327e-09,4.133039547901588e-11,1.9636879071331543e-11
,0.00010768388717468125,2.270076427723828e-05,4.46632705939532e-09,1.4806937524115447e-10,8.2799426053269e-08,5.459596581111674e-09,8.053480464668443e-11,5.0818971812703684e-11
,0.0001590684521656069,3.3540184266149696e-05,7.712532812004822e-09,2.6128727336058887e-10,1.429705272985251e-07,9.472990698460083e-09,9.020873725812709e-11,6.146148911539721e-11
,0.0002349673732952075,4.951802389486163e-05,1.3317504426449083e-08,4.461707648638609e-10,2.4686250133926184e-07,1.6322045149546956e-08,3.715349710531448e-11,1.84220387718955e-11
,0.0003470720060687555,7.311571485733276e-05,2.2996246236559747e-08,7.720173557391367e-10,4.2623465173317733e-07,2.818977412396042e-08,6.122801817730303e-11,2.6433972111951437e-11
,0.0005126467307256483,0.0001079107696983397,3.970628455055318e-08,1.3015336457103355e-09,7.359151281491565e-07,4.849439236280183e-08,4.77792086280009e-11,2.315983868560652e-11
,0.0007571834578388888,0.00015932766646759142,6.85580740157289e-08,2.2580498805213367e-09,1.2705395555157037e-06,8.384851181083336e-08,8.072198585060436e-11,4.432918596167209e-11
,0.0011183190409639868,0.00023521251017160583,1.1837034253326002e-07,3.9041443353889954e-09,2.1934462696115307e-06,1.449304338957666e-07,6.566001020230544e-11,4.1497484993123603e-11
,0.001651615354601164,0.0003471822834141973,2.0436745373018067e-07,6.750068877178392e-09,3.7865248711353523e-06,2.5051061316244984e-07,1.1034554909228547e-10,4.909998349876612e-11
,0.0024390858637547007,0.0005123069105050825,3.52824856721601e-07,1.1602258181183006e-08,6.536197200945594e-06,4.325054383592879e-07,1.6323666662123184e-10,8.147402601486025e-11
,0.003601770548827038,0.0007559975493195755,6.090940759188245e-07,2.01772833532766e-08,1.1281714752338464e-05,7.485142429541551e-07,2.4909898993595404e-10,4.912917142704197e-11
,0.005318275823677394,0.0011151213708268405,1.0514345667961648e-06,3.4684924445903116e-08,1.9470845715953507e-05,1.2926977681841794e-06,4.75017892482124e-10,2.7528280472271174e-11
,0.007852099562448978,0.001644568736795547,1.81487944489882e-06,5.998396024972717e-08,3.3600630455324885e-05,2.2351307624281205e-06,9.599440573611735e-10,6.600335507848141e-11
,0.011591887799218862,0.0024244832936470605,3.132387670427662e-06,1.0311876925022025e-07,5.797689765196662e-05,3.861687379895125e-06,1.922454208237875e-09,7.920981687188236e-11
,0.017110715145126302,0.003573184649265323,5.405792816756122e-06,1.7799667525526073e-07,0.00010002259381393552,6.677591469016529e-06,3.867644347637876e-09,1.2480833650400963e-10
