description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error
system=hub_wc1,0.00071336854889752,0.00035775365246681174,1.589220657488175e-08,3.590513459782292e-10,1.459244529965267e-09,2.9162296289168435e-07,9.312052882703175e-08,1.589220701850244e-08,1.8076793449360391e-12,2.110645973035438e-12
alpha=0.3,0.0008338933821550528,0.00039626611385782496,1.9918320016195528e-08,4.007544066130555e-10,1.993741346111205e-09,3.6856713714054237e-07,9.659355779069663e-08,1.99183165146749e-08,1.5963105113175203e-12,2.2228018476821414e-12
CPF1&2,0.0009747810760108951,0.00044185871161701417,2.4976412871284953e-08,4.5981654963550664e-10,2.724799346611082e-09,4.6581288406534186e-07,1.0100954182205902e-07,2.497640649858455e-08,1.6763709672275042e-12,3.2654662430812074e-12
size=10,0.0011394719621485995,0.0004936178279439102,3.133299037836071e-08,5.934485773434574e-10,3.7231549706013395e-09,5.887167322821387e-07,1.1286242898479723e-07,3.133298527036573e-08,1.0915220008425995e-12,1.794526379713639e-12
nsteps=1000,0.0013319876186395358,0.0005497105535299051,3.931881458080457e-08,8.695362134845593e-10,5.0870423746317964e-09,7.440485205492345e-07,1.3421756485155877e-07,3.931881405292209e-08,1.3782926353290353e-12,2.5065958468757217e-12
"ticks = np.logspace(0,2,num=60)",0.0015570290712579504,0.0006076523362925235,4.934301060432759e-08,1.2479582255446897e-09,6.9512102659968886e-09,9.403642888980955e-07,1.7211206312346724e-07,4.934300937609919e-08,2.5605137967375126e-12,4.2257528091587225e-12
,0.0018200915852392243,0.0006646110972412528,6.191368834534488e-08,1.6613161870621663e-09,9.498120342846378e-09,1.1884775764576677e-06,2.184158760400683e-07,6.191369964952702e-08,1.7130916204039665e-12,4.505117055750586e-12
,0.002127598851074779,0.0007205166220068994,7.766979529520128e-08,2.0254767376071942e-09,1.2978782843179146e-08,1.502055039091787e-06,2.6448036060777656e-07,7.766980274249712e-08,1.7687587145070442e-12,4.136258399054511e-12
,0.002487059839829182,0.000769935576648119,9.783963375738044e-08,2.6870117466527205e-09,1.7735020157938732e-08,1.8983692550349944e-06,3.4923952629233007e-07,9.783968448918736e-08,1.1759619976768292e-12,5.752045182543353e-12
,0.0029072521583873552,0.0008092940283684428,1.2348340850209068e-07,3.6812751857570968e-09,2.4233330276366028e-08,2.3992501175048116e-06,4.388897507229319e-07,1.2348349197750268e-07,1.841123291858785e-12,8.584785659837807e-12
,0.003398436380997279,0.0008370635053756374,1.5580017508680796e-07,4.641531720695609e-09,3.311363467582752e-08,3.0322872778454165e-06,5.011310136144648e-07,1.558002885523088e-07,1.5373854609714657e-12,1.2289601327967837e-11
,0.003972606590024866,0.0008588799797595319,1.965658417372147e-07,5.005049928430977e-09,4.5247811744510784e-08,3.832349833850668e-06,5.084931888239833e-07,1.9656593545578302e-07,2.0458174908169753e-12,1.8047204264459096e-11
,0.004643783242651995,0.0008825231768986023,2.481463122406206e-07,6.104838166808137e-09,6.182855768310718e-08,4.843506983505538e-06,5.442243207672232e-07,2.4814633535689887e-07,2.4822559551707194e-12,2.6478947049072582e-11
,0.005428355513296232,0.0009065204471076014,3.1362431757312517e-07,7.062905386278299e-09,8.448563697655537e-08,6.1214554323893335e-06,5.853739970967465e-07,3.1362425868797155e-07,3.4329699939394117e-12,3.883573887959922e-11
,0.006345481469062763,0.0009368649800101206,3.968044528434941e-07,8.35674082359855e-09,1.1544478717141962e-07,7.736587247647722e-06,7.229611525345069e-07,3.9680446785214125e-07,4.014165898067579e-12,5.7081189658856557e-11
,0.007417555846914883,0.0012049457355352228,5.021248879116478e-07,1.5278552259768627e-08,1.5774910990552887e-07,9.777867158550332e-06,1.125576355130361e-06,5.021251847429886e-07,7.221047267092054e-12,8.398552089677895e-11
,0.008670756850821432,0.0014504795296899553,6.347528806658559e-07,1.9925440970882706e-08,2.1555594987817202e-07,1.2357732850538816e-05,1.4363071987184235e-06,6.347532626555863e-07,1.0260272639423389e-11,1.235866201604664e-10
,0.01013568531511094,0.001582479157670043,8.012942978345531e-07,2.318300048261144e-08,2.945450771646162e-07,1.561828813808387e-05,1.622636565211483e-06,8.012940718169244e-07,1.3465075991533327e-11,1.819810135844677e-10
,0.011848111833563865,0.0017272433311994377,1.0111359574781046e-06,2.220912373717828e-08,4.0247969800189296e-07,1.9739130146296692e-05,1.6601871138455832e-06,1.0111353547744093e-06,1.5725173842726415e-11,2.6810486700055497e-10
,0.013849850087149451,0.0018901877321825912,1.2771300313756932e-06,3.0566653407947734e-08,5.499663897573424e-07,2.4947241639792482e-05,2.04667612057838e-06,1.2771308679258492e-06,2.2929696307304875e-11,3.9516148673582017e-10
,0.016189777680848873,0.0019561638788252664,1.6143730221703111e-06,4.859819652529731e-08,7.514982448494871e-07,3.152949323366986e-05,2.9027107545360097e-06,1.6143745740830681e-06,3.748746049853752e-11,5.826126669470151e-10
,0.01892502939640467,0.0020415718903823944,2.0403364100559723e-06,5.684811141597327e-08,1.0268793745788274e-06,3.984844419436984e-05,3.220255411898716e-06,2.0403353652031465e-06,4.440232070273943e-11,8.592323291618277e-10
,0.022122391970326113,0.0019498917895628871,2.5788273948974062e-06,5.5262831684108376e-08,1.403171476841099e-06,5.0362311952518636e-05,3.442652423045863e-06,2.578827288340223e-06,6.219912330419175e-11,1.2674901975154288e-09
,0.025859934417059055,0.0023330918935287027,3.2600897216844935e-06,9.970976336147032e-08,1.917351511743141e-06,6.365021014083681e-05,5.214046951075408e-06,3.260091598384051e-06,9.909226082998274e-11,1.870147583121905e-09
,0.03022891365455492,0.00250340081565818,4.1179585437738885e-06,1.2748797944951479e-07,2.6199460790113186e-06,8.044404516783398e-05,6.017348977909227e-06,4.117957032439053e-06,1.401910904688175e-10,2.7598562694936597e-09
,0.035336001892496506,0.0024019803470532687,5.201890223195803e-06,1.1335508062161927e-07,3.5799958284353547e-06,0.00010166882770261504,6.61714300086706e-06,5.2018932397469525e-06,1.6298675644820946e-10,4.073478484787597e-09
,0.041305890073686985,0.0028086642263841673,6.577024679669989e-06,2.0102266137654686e-07,4.891839132592954e-06,0.00012849361916251513,8.997323978175317e-06,6.577027258603336e-06,2.766461307366387e-10,6.013158639420288e-09
,0.048284330805253524,0.002813392639000597,8.312567508761368e-06,2.0223220108667743e-07,6.684381138015251e-06,0.00016239591844933172,1.0375643630380912e-05,8.312564134845931e-06,3.3861766557868776e-10,8.877487485606406e-09
,0.0564416948981424,0.002885418378814756,1.0503830634647838e-05,3.228662048038678e-07,9.133758618685893e-06,0.0002052430344380568,1.3575736432226252e-05,1.0503837196172741e-05,5.487361035780706e-10,1.3107501011465122e-08
,0.0659771281066813,0.003041220189643595,1.327229550238943e-05,3.9135098789270417e-07,1.2480644798027482e-05,0.0002593949244601136,1.6667293719974142e-05,1.3272296456774749e-05,7.633661592728783e-10,1.935472730558368e-08
,0.07712340922275274,0.0037925637658213387,1.677812911549379e-05,4.342599362651995e-07,1.7053893335351532e-05,0.0003278341606942956,1.925368701444722e-05,1.677812946816465e-05,9.34334302270185e-10,2.8581507616381583e-08
,0.09015262767774265,0.004002960697239289,2.120190071185751e-05,5.033411085031272e-07,2.330284369756293e-05,0.00041433017950918586,2.4600477953060086e-05,2.1201915499081173e-05,1.3865040930956508e-09,4.22094613133648e-08
,0.10538281864241629,0.0050644333310332365,2.6794325158304824e-05,6.403926941450104e-07,3.184145979186724e-05,0.000523646854901903,2.9063461876904405e-05,2.679430832533888e-05,1.779549328433822e-09,6.233863409380907e-08
,0.12318571675765379,0.004549412068532195,3.3867264191318046e-05,8.67622105089762e-07,4.3508635174281726e-05,0.0006618048211608404,3.7245952107044355e-05,3.386725531852333e-05,2.7847279757998766e-09,9.207123808024509e-08
,0.14399581661918406,0.00607427728075969,4.279624066814529e-05,1.1682124624581832e-06,5.945058444420163e-05,0.000836412981165685,4.759565071390167e-05,4.279628605783256e-05,4.3168275367331954e-09,1.3598992796995306e-07
,0.168320959604363,0.005242169222328315,5.409607855063761e-05,1.4630674860422098e-06,8.123340672094028e-05,0.001057087441850151,6.028190754643397e-05,5.40961081184841e-05,6.202068554539345e-09,2.008644483695702e-07
,0.1967547032934391,0.0071017332186522905,6.83618969739523e-05,1.8996815919516818e-06,0.00011099686540932441,0.0013359809244612554,7.380431769559939e-05,6.83619443983187e-05,8.64673322498718e-09,2.9669525924117094e-07
,0.22999077243755708,0.006022513753457896,8.640742063170337e-05,2.527682400350872e-06,0.0001516644691829035,0.0016884517698256224,9.434064286866669e-05,8.640745210444876e-05,1.3415307053808054e-08,4.382554603858886e-07
,0.26883994012257584,0.0068001934604383215,0.00010920102754957533,2.8681513436850194e-06,0.0002072304543192213,0.0021339093275798936,0.00011609143057680758,0.00010920111467173237,1.807407749174738e-08,6.473682979346311e-07
,0.31424974557442054,0.00698089325796872,0.00013801083825747893,3.890603433113297e-06,0.0002831518000870988,0.002696882205299279,0.00014517159595419193,0.00013801096950167871,2.7139743791875936e-08,9.562715570419719e-07
,0.3673275222088951,0.009328547672110948,0.00017443295090992253,4.827309923201988e-06,0.00038688368792442226,0.0034083680858666096,0.0001796953630400618,0.00017443285255689723,3.801687409863037e-08,1.4125872371549325e-06
,0.4293672874801614,0.009807268440244748,0.0002204653260531384,6.947320034062201e-06,0.0005286108436026288,0.004307539267026584,0.00022874695620538982,0.00022046536959109152,5.609360737687205e-08,2.0866621580874274e-06
