description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error
system=hub_wh3,0.00018923844464370588,0.00018143627049611063,7.601518872507903e-09,1.6245236071325152e-09,1.6946211564132256e-09,1.5823124396300938e-07,1.517036298461126e-07,7.601574239502699e-09,5.123982804152243e-13,5.652035703407769e-13
alpha=0.01,0.00020059760939180474,0.000191837268591658,8.291287118318426e-09,1.8207552908474978e-09,1.904193703096895e-09,1.7268988192249242e-07,1.651438879809044e-07,8.291350921931187e-09,5.880150782158845e-13,6.517026171954661e-13
CPF1&2,0.00021263861349945802,0.0002028028814314075,9.043345111782385e-09,2.0403466163149974e-09,2.139610527122852e-09,1.8846970101943315e-07,1.7974684496398077e-07,9.043418452498822e-09,6.51411618021367e-13,6.890072283336252e-13
size=8,0.00022540238444470356,0.00021435977984189946,9.863273155319708e-09,2.2860445009676163e-09,2.4041859058784046e-09,2.056914254262119e-07,1.9560865274625423e-07,9.863357484835492e-09,7.074655344210185e-13,8.216343952944681e-13
nsteps=100,0.00023893230634059798,0.000226535373615053,1.0757144787003196e-08,2.56086488170862e-09,2.7014884022879583e-09,2.2448681180177528e-07,2.1283270386586746e-07,1.0757241641204302e-08,8.173994193015477e-13,9.379220164611911e-13
"ticks = np.logspace(0,1,num=80)",0.0002532743674031485,0.0002393577551098068,1.173156985189971e-08,2.868209053112385e-09,3.035520567407744e-09,2.4499965609729164e-07,2.315300615589629e-07,1.173168102580317e-08,9.576489286847623e-13,1.069870429595868e-12
,0.0002684773162464621,0.00025285562807786637,1.279374005632636e-08,3.2117999513171164e-09,3.410866860627321e-09,2.67386892204727e-07,2.518198888884204e-07,1.2793867762561798e-08,1.1079910649404048e-12,1.236164035082649e-12
,0.00028459282757547626,0.0002670582196689465,1.3951479964597525e-08,3.5957656277788683e-09,3.8326483378986974e-09,2.9181979688074637e-07,2.7382988386704125e-07,1.3951626524036892e-08,1.2456337545094647e-12,1.3848448045012357e-12
,0.0003016756778113065,0.0002819951732593963,1.5213300932423892e-08,4.024760958837394e-09,4.306593128525011e-09,3.184852947435778e-07,2.976967059364599e-07,1.5213469042141635e-08,1.43018244445877e-12,1.599394086298362e-12
,0.0003197839312535086,0.00029769641953707865,1.658845983341771e-08,4.503818208067908e-09,4.839108475236416e-09,3.475873928081203e-07,3.235663853712595e-07,1.658865268960272e-08,1.6683004662252498e-12,1.8760391860322194e-12
