description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error
system=isg_wc2,0.019312815767013932,0.008536574604731737,3.0036218662075563e-05,2.1210587779091363e-06,4.973939797114784e-06,0.0001292079888326315,5.727584650235516e-05,3.0049294282892383e-05,1.3789659186490185e-08,3.171127216177481e-08
alpha=0.2,0.02047202712204521,0.008520007246291815,3.1123696051177294e-05,2.2362816554548513e-06,5.588957441129498e-06,0.00014101424065427623,5.89282737581321e-05,3.113777740747819e-05,1.501297652096961e-08,3.6684090651417056e-08
CPF1&2,0.021700814098406976,0.008455065993557003,3.2129025949535466e-05,2.3431639759418262e-06,6.280018494866288e-06,0.00015389925411589744,6.030906529149738e-05,3.2144067982778054e-05,1.6254959065455383e-08,4.243683141063746e-08
size=8,0.023003352163235808,0.008335964690943526,3.303524961564251e-05,2.437649051537741e-06,7.0565248194618985e-06,0.00016796159429023828,6.135736800110336e-05,3.305116361949081e-05,1.749074568970963e-08,4.9091809132776566e-08
nsteps=100,0.024384067312219027,0.008156669347071271,3.38279065464766e-05,2.5148902608349865e-06,7.929040698706105e-06,0.00018330883149824968,6.200860701238047e-05,3.38445484799895e-05,1.868896987481659e-08,5.6790575257382246e-08
"ticks = np.logspace(0,1,num=80)",0.02584765109449259,0.007910956404931512,3.449807900020069e-05,2.569159537756546e-06,8.909436410103536e-06,0.00020005836385584308,6.219730650867344e-05,3.4515237018350324e-05,1.9811591004662438e-08,6.569684252616696e-08
,0.027399076537808452,0.0075924893482618525,3.5047244200799195e-05,2.5937568144310897e-06,1.0011049729289598e-05,0.0002183383151858338,6.186290577617403e-05,3.506462866047868e-05,2.0815148998180212e-08,7.599997396180461e-08
,0.02904361502773738,0.007194916522640096,3.5494700816011305e-05,2.5809258325024005e-06,1.1248867300988682e-05,0.00023828851471904085,6.096223362622011e-05,3.5511944423455035e-05,2.1655107729766485e-08,8.791903776433451e-08
,0.03078685419801818,0.006711993375113791,3.5887833570173245e-05,2.521782530791419e-06,1.2639728451100549e-05,0.00026006156641210284,5.949832980731078e-05,3.590451913517298e-05,2.2299447527177425e-08,1.0170759645231271e-07
,0.03263471689242552,0.006137733563271629,3.631281927998369e-05,2.406270144024795e-06,1.4202554257283272e-05,0.0002838240158703447,5.759141142916676e-05,3.632856171601434e-05,2.276570387439027e-08,1.1765869971400531e-07
