description,y_PF4_rsteps_error,y_PF4_errors,y_PF6_rsteps_error,y_PF6_errors,y_CPF4_rsteps_error,y_CPF4_errors,y_CPF6_rsteps_error,y_CPF6_errors
system=_hub_ic,5.039726713969018e-09,1.1723033105162232e-09,5.663945533507973e-13,5.150171246321205e-13,5.297695217947051e-13,4.890618667303223e-13,2.5650122474424023e-12,1.9672866115451257e-12
CPF4&6,5.830377003896341e-09,1.363967433548424e-09,5.670203184166091e-13,5.201299333569733e-13,5.749661852671956e-13,3.99440736383807e-13,2.643507602275336e-12,2.2645620799140875e-12
size=8,6.745066518257406e-09,1.599064429540201e-09,7.443612526893503e-13,6.487121341911038e-13,9.74536609608194e-13,8.189325857395903e-13,2.139928853780057e-12,1.833487655454762e-12
nsteps=100,7.803253394797343e-09,1.882523745114184e-09,7.108301685011865e-13,6.352189044488487e-13,7.788280437584278e-13,4.669510571508544e-13,2.8332118873492593e-12,2.316999610131633e-12
"ticks = np.logspace(0,1,num=80)",9.027450099540521e-09,2.219637535922975e-09,6.677336701515642e-13,5.4784232152849e-13,9.16294464374511e-13,5.678050635741623e-13,2.588553450612841e-12,2.19519626390526e-12
,1.0443700780893855e-08,2.6162191408700358e-09,6.00423284776813e-13,4.987933515546639e-13,1.031887111087021e-12,5.968570876147874e-13,2.3452962250060717e-12,1.8759284619463924e-12
,1.2082132180579797e-08,3.078580501638929e-09,5.122115942670979e-13,4.1332321831336495e-13,1.1456203105947402e-12,4.911076699724124e-13,1.8121505666463737e-12,1.5373967632093117e-12
,1.3977602097818204e-08,3.6133272375966078e-09,4.792889687366577e-13,4.304958007738355e-13,1.283677071295736e-12,5.391189973433727e-13,3.846429411889938e-12,3.030672893216563e-12
,1.617043119275354e-08,4.22703074094591e-09,5.778527288260005e-13,5.132539798719838e-13,1.5343621836213321e-12,4.194470619984415e-13,2.6211291775094205e-12,2.383566711607599e-12
,1.8707269373756712e-08,4.9258285443386134e-09,7.689164263187543e-13,5.768972174648678e-13,1.8838815310217164e-12,4.894660145421837e-13,2.5130974062952944e-12,1.9631277095223956e-12
,2.164208332680104e-08,5.715019875732445e-09,5.453513113992753e-13,4.722984113403209e-13,2.3175000462399635e-12,5.070412797629991e-13,1.8775774107952953e-12,1.4248492064585304e-12
,2.5037305790744404e-08,6.598762853263317e-09,6.681612855725543e-13,5.562399702828584e-13,2.8598951547998003e-12,8.699796045838351e-13,2.8886166847358758e-12,2.34398709526173e-12
,2.8965161925377278e-08,7.579986399385742e-09,7.260514144163396e-13,5.41383665954551e-13,3.5407144073979652e-12,7.955139609553808e-13,3.187394955420684e-12,2.6276959693309664e-12
,3.350920648235478e-08,8.660700026687344e-09,5.187743714166431e-13,4.299970225094335e-13,4.230108050277347e-12,9.629433772274567e-13,3.90063895320878e-12,3.4914670237448138e-12
,3.8766104397519204e-08,9.842871879353406e-09,5.71066152494186e-13,4.636089397445804e-13,5.157432586002772e-12,9.070830892646253e-13,1.977921560618572e-12,1.3666513807802935e-12
,4.484768163092843e-08,1.1130141221494195e-08,6.814768654665308e-13,5.549029515518537e-13,6.330318122765145e-12,1.108801667885258e-12,2.856232896925778e-12,2.298285518596718e-12
,5.188330474151039e-08,1.253065149102497e-08,8.433627625439512e-13,6.286000051336019e-13,7.745799894151524e-12,1.1923441867006181e-12,2.6795556900546046e-12,2.281973714854325e-12
,6.002263387197993e-08,1.4061068222935794e-08,7.076999124681984e-13,4.943946397375098e-13,9.540513096798778e-12,1.3796321890836362e-12,2.128005258870016e-12,1.8377243967872116e-12
,6.943880626005457e-08,1.575173072212247e-08,6.948117357602118e-13,3.7034715721488155e-13,1.1659420122861265e-11,1.4694128239867335e-12,4.688580108721923e-12,3.661489304915097e-12
,8.03321170306512e-08,1.7652174372598806e-08,8.24485303818184e-13,6.170553971065114e-13,1.42820392307687e-11,1.6159124868222401e-12,3.1377981609384465e-12,2.2764234486801575e-12
,9.293427654222458e-08,1.9835967317660194e-08,1.026682695758567e-12,4.23060492762634e-13,1.7515240359943653e-11,1.9620447868315524e-12,2.4597493556798958e-12,2.1013829933949436e-12
,1.075133431035415e-07,2.2403694040459047e-08,1.2014372112996767e-12,5.008770379327575e-13,2.1468366921660806e-11,2.490251021254765e-12,3.3575707008556866e-12,2.4532644292675873e-12
,1.2437942035292318e-07,2.5483669615960025e-08,1.417516172474648e-12,4.5133090669728895e-13,2.6331325736073354e-11,3.1829171943087247e-12,3.017489884161009e-12,1.956913707407871e-12
,1.4389125352772923e-07,2.9228611794447545e-08,1.787472483216761e-12,3.316303312013852e-13,3.228354957468592e-11,4.202845408257417e-12,3.797842716621251e-12,2.7169990651714183e-12
,1.6646385352707236e-07,3.3802694124701445e-08,2.0881966170962884e-12,4.609553029712045e-13,3.958790189976923e-11,5.2907077563966936e-12,2.817966305475592e-12,1.9642785627929558e-12
,1.925773276863302e-07,3.935426392548814e-08,2.552186905068472e-12,5.393949992733471e-13,4.8549687449938215e-11,6.391537164096616e-12,2.8011839191834867e-12,2.114268022104799e-12
