description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error
system=isg_wc1,0.028969159225272073,0.012354668421668217,4.6533031944562836e-05,3.0137981218295736e-06,7.667540627504383e-06,0.00019466545242035973,8.36923470250377e-05,4.655020768341837e-05,1.996857183280339e-08,4.851521712934234e-08
alpha=0.3,0.030707968288213598,0.012301148125151264,4.8593264383303106e-05,3.155047997213868e-06,8.615612191110408e-06,0.0002124527942036885,8.608200267202957e-05,4.8611450434262086e-05,2.1686527416042353e-08,5.6119348810719936e-08
CPF1&2,0.032551139797068085,0.012175731670638379,5.0652256322658894e-05,3.2793580673628595e-06,9.680906541325155e-06,0.0002318653989116413,8.812660563432614e-05,5.067130789960212e-05,2.343109216365032e-08,6.491571522764346e-08
size=8,0.03450493683050619,0.01197040305989037,5.272028466535337e-05,3.380316651854569e-06,1.0877916707118402e-05,0.00025305176424932297,8.977303722015264e-05,5.2739999647434746e-05,2.517710253445745e-08,7.509131011070974e-08
nsteps=100,0.036575998244886686,0.011676917259740034,5.482132827187367e-05,3.4503885032082214e-06,1.222292761698268e-05,0.00027617395503408084,9.098547471646084e-05,5.4841451550588986e-05,2.690032560119746e-08,8.686243700278592e-08
"ticks = np.logspace(0,1,num=80)",0.03877136120978167,0.011286906492028912,5.699825195861725e-05,3.480813767242471e-06,1.3734237262380593e-05,0.00030140884260760676,9.17684967504445e-05,5.7018497016989104e-05,2.8587203833764198e-08,1.004793028999162e-07
,0.04109848509356907,0.010792015605375849,5.931715528257455e-05,3.461524302024067e-06,1.5432405794590117e-05,0.0003289494573797683,9.221334688373131e-05,5.933725173753366e-05,3.0258089644771105e-08,1.1623135180834737e-07
,0.04356527677991158,0.010184076430682221,6.18680578500901e-05,3.381113653161173e-06,1.7340535128465865e-05,0.00035900646498331036,9.257997732096077e-05,6.188782528037813e-05,3.201498987281321e-08,1.344534323104528e-07
,0.04618011750059407,0.009455464805573974,6.475900775783767e-05,3.2274988055909078e-06,1.9484582837395546e-05,0.0003918097771882219,9.337003939707647e-05,6.477843368803653e-05,3.4104487113108245e-08,1.5553298157453083e-07
,0.04895189127536803,0.009115396760233539,6.810424676986935e-05,3.289010257996154e-06,2.189371555538379e-05,0.00042761030996083617,9.517094033510632e-05,6.812352968014516e-05,3.6878375287332176e-08,1.7991799020026593e-07
,0.05189001505482037,0.00900742585935447,7.201277412214334e-05,3.5124750427988843e-06,2.4600705241703247e-05,0.0004666819020967918,9.826115533099694e-05,7.203231406542989e-05,4.058541392763251e-08,2.0812696156072055e-07
,0.055004470667915785,0.00882479501240662,7.658423099822588e-05,3.725695199626685e-06,2.7642374930973567e-05,0.0005093234089871988,0.00010262855357419445,7.660459875885878e-05,4.5337298197541166e-08,2.4075955076523365e-07
,0.058305838682061545,0.008557703541862235,8.191206935007497e-05,3.919886400464245e-06,3.106009951278564e-05,0.0005558609876800614,0.00010832476349436363,8.193399850509599e-05,5.1287119045108134e-08,2.785095676108014e-07
,0.06180533428978293,0.008196082872094754,8.808817269925015e-05,4.085200414353582e-06,3.4900367997365315e-05,0.0006066505905280561,0.00011559194323096416,8.811258477362136e-05,5.871949669915406e-08,3.2217936861200653e-07
,0.06551484534296768,0.0077564229621204924,9.520440544133375e-05,4.258034210762566e-06,3.921541589835422e-05,0.0006620806865527658,0.000124772358521959,9.523244613423348e-05,6.802870689933542e-08,3.7269752170926405e-07
