description,y_PF1_rsteps_error,y_PF1_error,y_CPF1symp_error,y_CPF1com_error,y_CPF1com_rsteps_error,y_PF2_rsteps_error,y_PF2_error,y_CPF2symp_error,y_CPF2com_error,y_CPF2com_rsteps_error
system=hub_wh3,0.001892383348988327,0.0017986216890479173,7.525841207119186e-07,2.2234739280921977e-08,2.3665113065331357e-08,2.122419554800885e-06,2.0140770128936333e-06,7.525948458798864e-07,1.4384862481186955e-11,2.4256460030421548e-11
alpha=0.1,0.002005974860774258,0.0019007330485518936,8.204010332580537e-07,2.4889731235495935e-08,2.6591427111811555e-08,2.316358968416257e-06,2.1911825057523167e-06,8.204133575098327e-07,1.6568919668216723e-11,2.7626340451532725e-11
CPF1&2,0.002126384749391736,0.0020082648201335536,8.942710692642062e-07,2.7855294915924345e-08,2.987959628416763e-08,2.528019879124543e-06,2.3834052601456875e-06,8.942852250861183e-07,1.9082539332897815e-11,3.147834200045341e-11
size=8,0.002254022287504975,0.0021214574995107576,9.747260263987528e-07,3.1166527633374275e-08,3.357436413461974e-08,2.7590216117493932e-06,2.5919642836203776e-06,9.747422786622114e-07,2.1973080553601543e-11,3.58829387417936e-11
nsteps=100,0.0023893213139510048,0.002240556048860547,1.0623432257756765e-06,3.4862256933202556e-08,3.77260107864205e-08,3.011131458263654e-06,2.818165593780001e-06,1.062361875867579e-06,2.529327452226171e-11,4.091229774159969e-11
"ticks = np.logspace(0,1,num=80)",0.0025327417082514824,0.0023658090303052227,1.1577492507476928e-06,3.898538815574502e-08,4.2391028855741486e-08,3.2862781983364594e-06,3.063406585947474e-06,1.1577706416172658e-06,2.910643419059837e-11,4.6668843280152034e-11
,0.0026847709536191974,0.0024974675652782766,1.2616239746726156e-06,4.358327991711787e-08,4.763290119166731e-08,3.5865668555508563e-06,3.3291802941434223e-06,1.2616484954242305e-06,3.34812323813122e-11,5.324928421165256e-11
,0.0028459257937750726,0.0026357840975570444,1.3747048964840536e-06,4.870814029417097e-08,5.352295794706232e-08,3.9142948024369914e-06,3.6170794657112574e-06,1.3747329888794584e-06,3.8503328113287185e-11,6.078057435475631e-11
,0.0030167539891990808,0.0027810109355730335,1.4977918101278099e-06,5.441744284011238e-08,6.014135046202939e-08,4.271969334455324e-06,3.928800349531471e-06,1.4978239740442933e-06,4.42615439622906e-11,6.940179675971738e-11
,0.003197836178787394,0.0029333985472495606,1.6317518301030455e-06,6.07743655494407e-08,6.757814139301448e-08,4.662326854096028e-06,4.266146105698122e-06,1.6317886314772926e-06,5.086143507907081e-11,7.927191124803353e-11
,0.0033897878532373454,0.0030931935782339995,1.7775247997358571e-06,6.784824274223326e-08,7.593452924148414e-08,5.088353804154968e-06,4.631029684273881e-06,1.7775668769655295e-06,5.842197765451213e-11,9.057719964822596e-11
,0.0035932614468659235,0.0032606365617972536,1.936129112863902e-06,7.571503468221522e-08,8.532422730751426e-08,5.553309515120526e-06,5.025476039068312e-06,1.936177185625607e-06,6.707751494010597e-11,1.0353142280805732e-10
,0.0038089485549685793,0.0034359592860762965,2.1086679773980593e-06,8.445779981253513e-08,9.587500863979033e-08,6.060751140867585e-06,5.45162348866398e-06,2.1087228551859998e-06,7.69789321101863e-11,1.1837350868010607e-10
,0.004037582284247379,0.00361938178163478,2.2963361623220657e-06,9.416716400950429e-08,1.0773044760408839e-07,6.614560871418725e-06,5.9117240283813715e-06,2.29639875347918e-06,8.82982175723216e-11,1.3539036133913514e-10
,0.00427993974430029,0.003811108889641095,2.500427261450982e-06,1.0494178403701122e-07,1.2105187022590315e-07,7.218975633928888e-06,6.408142353979468e-06,2.5004985836719793e-06,1.0122969107027785e-10,1.5490403186510357e-10
,0.004536844688626559,0.004011326368307581,2.7223415259168894e-06,1.168887853420581e-07,1.3602055399319962e-07,7.878619505598703e-06,6.943353335185019e-06,2.722422715334157e-06,1.1598903292571792e-10,1.772873518937257e-10
,0.004809170314128152,0.004220196492722939,2.963594309674126e-06,1.3012416034946237e-07,1.528401876016282e-07,8.59853908974066e-06,7.519937630314786e-06,2.963686631704509e-06,1.3282159775737636e-10,2.0296944981034698e-10
,0.005097842228604043,0.0044378531008723195,3.2258251924073902e-06,1.4477310595150552e-07,1.7173965154260659e-07,9.384242123846453e-06,8.140575108962313e-06,3.225930051936208e-06,1.5200129175743788e-10,2.3244390710203132e-10
,0.005403841596331314,0.00466439603662986,3.5108078486736423e-06,1.6097028729214865e-07,1.929761250563859e-07,1.0241739615018962e-05,8.808035698420265e-06,3.5109268001998425e-06,1.7383852587888427e-10,2.662809776755812e-10
,0.005728208472403736,0.0048998849389968275,3.820460737095762e-06,1.7885997379683027e-07,2.1683859023190713e-07,1.1177591825340742e-05,9.52516723513761e-06,3.8205954928678366e-06,1.986645304570841e-10,3.051363632910495e-10
,0.006072045337159705,0.00514433232587291,4.1568587110629055e-06,1.985960445895017e-07,2.436517610972143e-07,1.2198958460228455e-05,1.0294879860940327e-05,4.157011150606656e-06,2.2686779001439655e-10,3.497654572855092e-10
,0.006436520842698686,0.0053976959206264346,4.522245659384697e-06,2.2034179276811638e-07,2.737805042026267e-07,1.3313653441111073e-05,1.1120126463132755e-05,4.522417835257708e-06,2.588644906842131e-10,4.0103833034433507e-10
,0.006822873784208399,0.005659870170666748,4.919048308585349e-06,2.44269501183519e-07,3.07634805431498e-07,1.4530204682184965e-05,1.2003878628454818e-05,4.919242447703211e-06,2.9512030317266236e-10,4.5995990585038274e-10
