description,y_PF4_rsteps_error,y_PF4_errors,y_PF6_rsteps_error,y_PF6_errors,y_CPF4_rsteps_error,y_CPF4_errors,y_CPF6_rsteps_error,y_CPF6_errors
system=isg,1.3314694100702686e-08,3.519435984299387e-09,2.6113567573403487e-12,2.2787462111303795e-12,1.5019240651450385e-12,1.0458706338271584e-12,3.6277684466526153e-12,3.117003229631184e-12
CPF4&6,1.540353052643461e-08,4.174647257381794e-09,2.522888271001582e-12,2.1969910913969667e-12,1.8632409932126097e-12,1.4499327801000655e-12,8.729057359619264e-12,7.35289252760997e-12
size=8,1.7820091253856627e-08,4.9486765029090375e-09,1.4124252195215805e-12,1.2177196446072655e-12,1.6889211379074257e-12,9.625737758425416e-13,6.779481098926675e-12,5.749801210127576e-12
nsteps=100,2.0615760684965684e-08,5.856063464480838e-09,1.0343113936111787e-12,8.154387836263836e-13,2.41000528255514e-12,1.8205281241121168e-12,1.1428611238301476e-11,9.498999694891475e-12
"ticks = np.logspace(0,1,num=80)",2.3849980973485783e-08,6.911533332369634e-09,2.4457862677627235e-12,2.023758220787284e-12,3.002040002065938e-12,2.1511995643668975e-12,1.0336097036749002e-11,7.601480256724726e-12
,2.759164424745873e-08,8.129263079892107e-09,2.0368016734252086e-12,1.6184158512329863e-12,2.650477247831202e-12,1.089642126731647e-12,6.191385073761371e-12,5.274520500038135e-12
,3.192022612928118e-08,9.521741671442615e-09,1.106808253994546e-12,8.341414389865946e-13,2.8579901319991614e-12,8.541776771498886e-13,3.619266523036305e-12,2.610952982426191e-12
,3.6927963337169806e-08,1.1098886021309313e-08,1.4983937882065762e-12,1.1112540195199973e-12,3.4725446543819177e-12,9.938426417063857e-13,8.944233488569747e-12,7.63196039470619e-12
,4.272123238472557e-08,1.286695617152271e-08,2.8126289916962466e-12,2.3710213968114317e-12,4.543405904039443e-12,1.921068749812624e-12,3.759700733092551e-12,2.9111379382744653e-12
,4.94233586068181e-08,1.4827744420366489e-08,1.279507415177506e-12,9.962879952605595e-13,4.96152135782319e-12,1.2276557133831821e-12,1.2909393206826593e-11,9.670689579131648e-12
,5.717690213570448e-08,1.6978681669714624e-08,1.2524148147678221e-12,8.106420665376645e-13,6.128913772650412e-12,1.8063297789569727e-12,3.093053954125289e-12,2.4959105326133557e-12
,6.614681832780272e-08,1.93136339142178e-08,1.8615326997069664e-12,1.557855316144902e-12,7.444067928018656e-12,1.53975939016915e-12,7.94452040109242e-12,6.7132889268424355e-12
,7.652392081105107e-08,2.1826051118728763e-08,1.4037754698923198e-12,1.0749479768044253e-12,9.145959801586157e-12,1.815769011524217e-12,4.965596803947631e-12,3.5961086334330847e-12
,8.852887873234203e-08,2.4515970901127978e-08,8.090501785111578e-13,3.825123826562266e-13,1.1137219419045808e-11,2.071153574010812e-12,1.0155542287575409e-11,8.555314414028437e-12
,1.0241716521060325e-07,2.7403611248609004e-08,2.720611496789688e-12,2.1944094725772775e-12,1.367114424226043e-11,2.339309832094484e-12,8.012993385627909e-12,6.612722030550023e-12
,1.1848418226176409e-07,3.0553224422843785e-08,1.7724697134650737e-12,1.356321019076722e-12,1.6763198941132535e-11,2.7279830942425495e-12,1.337553370950733e-11,9.597397700690914e-12
,1.3707161879026092e-07,3.410933347655327e-08,1.875405579686405e-12,1.3197596099214696e-12,2.0374430971953067e-11,2.6666062148190654e-12,3.442865433661358e-12,2.7095472686934853e-12
,1.5857499392220948e-07,3.8334869413559496e-08,2.079370604983418e-12,1.0842533000884785e-12,2.491528303215521e-11,2.82641785118197e-12,6.215267748913464e-12,4.854288419055489e-12
,1.8345161626023325e-07,4.3610998909667214e-08,2.294347720128747e-12,8.335702146054323e-13,3.063511185375769e-11,3.0790956055442313e-12,5.194268832919187e-12,3.804463989962512e-12
,2.1223065620507836e-07,5.0350151728164125e-08,2.349861040440759e-12,1.078141063026673e-12,3.746261916592794e-11,3.760510049251353e-12,6.443532881636625e-12,5.080353235872589e-12
,2.4552425908494235e-07,5.8859856138414646e-08,2.7302438802819567e-12,1.140451200727864e-12,4.5994298885687615e-11,5.067347793874756e-12,7.902843059421702e-12,6.69741979174341e-12
,2.84040611503161e-07,6.928258307365676e-08,3.3752379566965498e-12,1.3777600988799284e-12,5.633716770530943e-11,6.860053854465172e-12,3.465328439900984e-12,2.3327309871707232e-12
,3.285989409909961e-07,8.163216117728528e-08,4.633134934353046e-12,2.5122248973021803e-12,6.897821403857044e-11,8.944206776621747e-12,4.631769333513769e-12,3.3910385985165898e-12
,3.801470223617353e-07,9.584736019965807e-08,4.716157320900154e-12,1.139254007527509e-12,8.449632532272475e-11,1.1564450090009637e-11,9.467023445867916e-12,7.175580716552822e-12
,4.397811481050917e-07,1.1182136743273976e-07,5.919124954653689e-12,1.4716558352318455e-12,1.0359470421709423e-10,1.4544450158658638e-11,4.265632965355301e-12,3.2629536880374966e-12
,5.087698220788493e-07,1.2941962857701208e-07,7.012773398302803e-12,1.356282047498841e-12,1.2703962491118238e-10,1.7789583556750948e-11,5.332279327103934e-12,4.3840255576380066e-12
,5.885801400360188e-07,1.4850539106489914e-07,8.788625198085725e-12,1.5485859602461888e-12,1.5575941933591202e-10,2.1172487568328254e-11,3.99746413013909e-12,3.071990021618477e-12
,6.80909665335266e-07,1.6899573385590424e-07,1.0531637029601962e-11,2.2013201243394557e-12,1.9112907636023232e-10,2.4592719453316e-11,7.433388243638634e-12,5.548227237120293e-12
,7.877220077615177e-07,1.909758705663821e-07,1.2980184795405589e-11,3.0018453669605403e-12,2.341418714808984e-10,2.7892328037240556e-11,1.0990190973821591e-11,7.874037030495816e-12
,9.11288698769978e-07,2.149179328998035e-07,1.5638394199383163e-11,1.876562212752989e-12,2.8724436533711755e-10,3.0940938986494316e-11,7.948792695973519e-12,6.641923263774964e-12
,1.0542375395812189e-06,2.420392887418489e-07,1.9221039056334216e-11,2.8228694148281024e-12,3.52147580029338e-10,3.362484105125092e-11,6.586485626746692e-12,4.544493154461675e-12
,1.2196085743391278e-06,2.747023523604092e-07,2.3373428301796408e-11,1.8676224131156282e-12,4.318390502369815e-10,3.618785690805565e-11,6.070779624884292e-12,4.183798986768555e-12
,1.410918470928783e-06,3.1637500677973705e-07,2.8788269839445492e-11,3.410822370530855e-12,5.2954997783583e-10,4.181019946630778e-11,9.244704912889967e-12,6.783111844079698e-12
,1.6322353605485398e-06,3.7046780559467117e-07,3.520357295614916e-11,2.5375087300659976e-12,6.493613337802234e-10,5.5610298680217695e-11,4.245021930516418e-12,2.9129817916624926e-12
,1.8882653728605714e-06,4.385473498592102e-07,4.297645779109424e-11,3.58615301742156e-12,7.962692910988671e-10,7.833174980010135e-11,4.919641273519371e-12,3.6220886970077763e-12
,2.1844526013181764e-06,5.196400525564704e-07,5.269811838042372e-11,4.943098434344549e-12,9.765425123857817e-10,1.0798825585855124e-10,9.219468646096007e-12,6.943681563969046e-12
,2.5270947879365675e-06,6.109026875651503e-07,6.47093401803529e-11,6.9959256779923796e-12,1.1973613370500467e-09,1.417394637619089e-10,7.527710466130974e-12,5.3695514930677235e-12
,2.9234771157192853e-06,7.087110410475714e-07,7.925146326054952e-11,8.377629680951323e-12,1.468358471475188e-09,1.759557283604206e-10,8.2073337160533e-12,5.9560355960651305e-12
,3.3820271142792666e-06,8.09947712088609e-07,9.707107550171178e-11,9.54365129304319e-12,1.8007068316029456e-09,2.0638649278809252e-10,9.838297895613543e-12,7.199095128965452e-12
,3.9124937092869936e-06,9.138890028319214e-07,1.1911767579500456e-10,1.0275224845527055e-11,2.2080099966754417e-09,2.284221780311771e-10,5.3010962964830946e-12,3.938425861306515e-12
,4.5261541335016065e-06,1.0249527010593552e-06,1.4597141643125535e-10,9.643316568107617e-12,2.7075609799798254e-09,2.399191554735751e-10,7.0732559582370785e-12,4.80994983190505e-12
,5.236053843216623e-06,1.1555444531656883e-06,1.7913146149720497e-10,9.117389742922365e-12,3.3202498120547776e-09,2.4758163995020295e-10,9.637627960672148e-12,7.287696489969506e-12
,6.057283276292114e-06,1.3254280255414817e-06,2.1948799327995437e-10,8.007375391236484e-12,4.071415733903664e-09,2.806099696062756e-10,1.1103733854163902e-11,7.401565820401163e-12
,7.00729862892397e-06,1.552656775557295e-06,2.6923876445337214e-10,1.352406639065513e-11,4.992670063780599e-09,3.8163281342029346e-10,8.354093696356904e-12,5.118663077431849e-12
,8.106292324510211e-06,1.840899480087559e-06,3.299982732056417e-10,2.248904476004387e-11,6.122473999907322e-09,5.496521571177712e-10,4.4745543222497204e-12,3.240192982520678e-12
,9.377622083595162e-06,2.176701434237409e-06,4.0464610961259987e-10,3.309853148648148e-11,7.50763788072553e-09,7.544161863928842e-10,7.146420788330885e-12,5.422885589954436e-12
,1.0848306620145547e-05,2.5377063714168886e-06,4.962664555539357e-10,4.2698737416162036e-11,9.206280360210353e-09,9.583530659149302e-10,6.2385286516020935e-12,3.923202563970525e-12
,1.2549599457711275e-05,2.905679283681813e-06,6.084716972494197e-10,4.8772974253142045e-11,1.1289139016397793e-08,1.1200768341562433e-09,4.974485645355601e-12,2.7704015081217056e-12
,1.4517652002302253e-05,3.2833772061033887e-06,7.462086036609667e-10,4.8497170659804534e-11,1.384336238466606e-08,1.2105765302875718e-09,3.9677067209941335e-12,2.6514069587152486e-12
,1.67942812284857e-05,3.7108754072032245e-06,9.150407797263343e-10,4.141352366961382e-11,1.6975206289735088e-08,1.2648661056698502e-09,7.276388779122744e-12,4.636517729698732e-12
,1.9427856986876024e-05,4.259269086771071e-06,1.121951144623552e-09,4.269954300971234e-11,2.0815650619569323e-08,1.4666721529155568e-09,1.1555673009689868e-11,7.039848466149971e-12
,2.2474327996568703e-05,4.980837875640124e-06,1.3757677678369687e-09,7.011366845731645e-11,2.5524951835057324e-08,1.9829834841918204e-09,1.7770470090788824e-11,1.2935130685467472e-11
,2.5998409039808532e-05,5.861672968035114e-06,1.687113440389977e-09,1.0799477286680087e-10,3.129941954355475e-08,2.72396105058217e-09,1.0669039550271705e-11,7.008325376644709e-12
,3.007495361131131e-05,6.837503264575265e-06,2.0687465065285884e-09,1.440086543768169e-10,3.8379989803820863e-08,3.4997662411639746e-09,6.3222130422509374e-12,3.819445516573824e-12
,3.4790541193533846e-05,7.855007322049053e-06,2.5367448473920132e-09,1.644987899058776e-10,4.706223442427415e-08,4.112674395162262e-09,1.0354869732125451e-11,7.332816784474978e-12
,4.024531295744116e-05,8.945739390210247e-06,3.1106847120817443e-09,1.5843336840488813e-10,5.7708114142089525e-08,4.511810422109895e-09,1.0231265877638736e-11,7.59300102169684e-12
,4.655509467286479e-05,1.0256143875283366e-05,3.814463867900968e-09,1.5368040872655994e-10,7.076187799703136e-08,5.149563987129499e-09,1.0379222567998509e-11,7.61380612439943e-12
,5.385385128447744e-05,1.1929493480488622e-05,4.677334189676283e-09,2.3436561294930547e-10,8.676783597844398e-08,6.70705750365532e-09,5.487718952020864e-12,3.805142551431889e-12
,6.229652566145705e-05,1.3933612651744352e-05,5.735651555471166e-09,3.383189885975454e-10,1.0639355950856461e-07,8.86732346786038e-09,5.832725181806982e-12,4.155842432455672e-12
,7.206232051244482e-05,1.611459530267253e-05,7.033142300284106e-09,4.143842776141433e-10,1.3045750230622664e-07,1.08815743594248e-08,4.495055889892812e-12,2.2024714202088273e-12
,8.335849388505632e-05,1.843486847556032e-05,8.624045724094026e-09,4.302321293215864e-10,1.5996295588251856e-07,1.2333966215138954e-08,4.850483417699296e-12,3.2339296352974393e-12
,9.642474684523008e-05,2.1154261979270367e-05,1.057489587374037e-08,4.091836870162054e-10,1.9614017686762091e-07,1.4029032541673788e-08,8.160937921694683e-12,5.647212403773159e-12
,0.00011153829697808676,2.4632015671910527e-05,1.2967082365574554e-08,6.085206773542995e-10,2.4049717421856243e-07,1.82041826181311e-08,5.2595597748325025e-12,2.355105082203897e-12
,0.00012901974433721856,2.878591634876998e-05,1.5900155126379198e-08,9.140145280375523e-10,2.948828580739635e-07,2.4247037637051485e-08,1.5894910504078204e-11,9.892480843546778e-12
,0.0001492398524615917,3.317302734250157e-05,1.9496774181279546e-08,1.0745550697704371e-09,3.615639022265625e-07,2.9161413621003772e-08,1.2329034186385164e-11,7.375297396458724e-12
,0.00017262738834592417,3.781262047815237e-05,2.39065238080968e-08,9.986480449218551e-10,4.433188770230438e-07,3.208472158114435e-08,1.0199866172851606e-11,3.607614865938953e-12
,0.0001996781849155152,4.357508231375772e-05,2.93135511255602e-08,1.0589389247918604e-09,5.435540252672224e-07,3.798337574130903e-08,1.7456257793987636e-11,1.1461713965651948e-11
,0.000230965617640506,5.104189743331943e-05,3.594325390200525e-08,1.806655863197553e-09,6.66445182306087e-07,5.168976715558503e-08,1.9301875317323024e-11,1.242381209086509e-11
,0.00026715271389311026,5.936102493785902e-05,4.407204481246634e-08,2.434913699257905e-09,8.171109847872045e-07,6.604749745651444e-08,1.7232050338203604e-11,3.8144550679103116e-12
,0.0003090061494942641,6.781715901894626e-05,5.403876714992243e-08,2.3890420972133684e-09,1.001825640186031e-06,7.414040265720982e-08,2.2594523740268067e-11,3.358901523979862e-12
,0.0003574124266796439,7.779367974216298e-05,6.62586113866311e-08,2.3205909741979455e-09,1.2282800845713554e-06,8.521434257767411e-08,2.8837216413147386e-11,3.5319107802317062e-12
,0.0004133965698038744,9.080975361038712e-05,8.124116994676242e-08,3.794794059165661e-09,1.5059015515328598e-06,1.1353862792298493e-07,3.688162287663873e-11,6.163398839262831e-12
,0.00047814373227025793,0.00010547805879724346,9.961056256734296e-08,5.033543081527522e-09,1.8462444353879677e-06,1.4370530045071479e-07,4.7843010415938115e-11,6.393157429440753e-12
,0.0005530241642714972,0.00012082069210963107,1.2213227158505413e-07,4.851100567591865e-09,2.263470966834704e-06,1.6302893380045293e-07,6.19401618263028e-11,5.170109736105929e-12
,0.0006396220631470367,0.00013952227769762197,1.4974419239814924e-07,5.9588444777129384e-09,2.774938482381751e-06,1.9926632056577555e-07,7.977656801641893e-11,8.170786670952667e-12
,0.0007397689076531046,0.00016230681413434775,1.8359642071869233e-07,8.691105019201673e-09,3.4019189356665537e-06,2.583531551381464e-07,1.0347090353538053e-10,4.093742787126737e-12
,0.0008555819695975306,0.00018672773993297085,2.2509880048327614e-07,9.367302931536776e-09,4.170483292477637e-06,3.037332823687774e-07,1.342086158267818e-10,7.586873595115248e-12
,0.0009895088034974871,0.00021543560205873562,2.7597898461874876e-07,1.0477479816864071e-08,5.1125794629692626e-06,3.648996201415953e-07,1.7415148575477337e-10,5.225963317283269e-12
,0.0011443786389067165,0.0002505582006706231,3.3835499600935577e-07,1.5723036177931522e-08,6.267357531400838e-06,4.7374519375022613e-07,2.257184946543966e-10,7.43737559428248e-12
,0.001323461739004638,0.00028781324326548457,4.148226905244479e-07,1.665251745960798e-08,7.682792112936733e-06,5.539389445716188e-07,2.9366424575854115e-10,1.019251375072937e-11
