description,avg_infid_PF1,std_infid_PF1,avg_infid_PF2,std_infid_PF2,avg_infid_CPF1,std_infid_CPF1,avg_infid_CPF2,std_infid_CPF2
nqubits=2,1.2499999999804334e-06,1.299038105660597e-06,0.0,0.0,0.0,0.0,0.0,0.0
nsteps=1,1.0499999999996623e-05,1.0712142642815272e-05,0.0,0.0,0.0,0.0,0.0,0.0
nshots: 10^6,2.3250000000002435e-05,2.325268801665993e-05,0.0,0.0,0.0,0.0,0.0,0.0
pparam: 0.1,5.9499999999990116e-05,5.9537803117000796e-05,2.500000000071889e-07,4.330127019046709e-07,0.0,0.0,0.0,0.0
"ticks: np.linspace(0.1,1,20)",0.0001197500000000018,0.00011986737462712856,1.000000000001e-06,1.7320508075706095e-06,0.0,0.0,0.0,0.0
0,0.0002395000000000036,0.00023970450558969712,4.499999999990623e-06,4.555216789559949e-06,0.0,0.0,0.0,0.0
0,0.00037850000000000383,0.00037851056788417803,8.000000000008e-06,8.000000000008e-06,2.500000000071889e-07,4.330127019046709e-07,0.0,0.0
0,0.0005799999999999972,0.000580110334333044,1.4500000000000624e-05,1.4517231140957677e-05,0.0,0.0,0.0,0.0
0,0.0008362499999999828,0.0008362518684582841,2.4999999999997247e-05,2.5357444666203362e-05,4.999999999866223e-07,8.660254037612677e-07,0.0,0.0
0,0.0011622500000000036,0.0011625059946082034,4.149999999999987e-05,4.188376773882227e-05,7.499999999938112e-07,8.291561975708498e-07,7.499999999938112e-07,1.2990381056659386e-06
0,0.001622499999999999,0.0016225006163327015,6.77500000000053e-05,6.782468208551222e-05,1.250000000008189e-06,1.6393596310760815e-06,5.000000000143778e-07,5.000000000143778e-07
0,0.0020932500000000187,0.002093250029857895,0.0001087499999999908,0.00010945175877982985,4.000000000004e-06,4.062019202325459e-06,4.249999999983434e-06,5.760859310885235e-06
0,0.002663500000000013,0.002663509386129523,0.0001704999999999901,0.00017120820657899876,8.499999999994623e-06,8.616843969801972e-06,8.499999999994623e-06,8.529361054609063e-06
0,0.0032732500000000053,0.0032732532269135603,0.00025274999999999603,0.00025308829980857976,1.7750000000010813e-05,1.7921704718032475e-05,1.325000000002019e-05,1.3808964479659182e-05
0,0.0039552499999999935,0.003955253555399445,0.00035300000000001996,0.0003532046149189077,3.400000000000625e-05,3.459046111285966e-05,2.3500000000009624e-05,2.3595550428001847e-05
0,0.004696499999999992,0.004696517246854303,0.0004969999999999974,0.0004972896540246908,4.824999999999968e-05,4.871537231716961e-05,4.200000000001425e-05,4.200595195923037e-05
0,0.005461500000000008,0.0054617439293690884,0.0006599999999999939,0.0006600242419790292,9.275000000000255e-05,9.275606449176538e-05,7.050000000000112e-05,7.051418297052134e-05
0,0.006244250000000007,0.006244348099481649,0.0008904999999999885,0.0008905227397433372,0.00014100000000000223,0.00014114354395437632,0.00011350000000001637,0.00011372005100246752
0,0.007038500000000003,0.0070385171911418985,0.0011484999999999967,0.0011488142800296277,0.0002462500000000034,0.00024696191508004377,0.00018424999999999692,0.0001842503392127104
0,0.00790225,0.007902250387547839,0.0014842500000000203,0.0014842550951571836,0.00035949999999998483,0.0003595695343045475,0.0003080000000000027,0.000308003246736137
